feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
lamina_E_original_firstorder_Energy_mean,lamina,E,firstorder,Energy,mean,0.001133,0.000435,0.001106,0.00116,0.384,420,370.0,113.0,458.0,0.0,0.0,0.0055,0.934166,higher feature -> higher survival_target
lamina_H_original_firstorder_Variance_mean,lamina,H,firstorder,Variance,mean,0.001131,0.000479,0.001102,0.001161,0.423,421,372.5,103.0,458.0,0.1,0.2,0.2044,0.001926,higher feature -> higher survival_target
lamina_E_original_firstorder_90Percentile_mean,lamina,E,firstorder,90Percentile,mean,0.00112,0.000499,0.001089,0.001151,0.445,422,386.0,108.0,461.0,0.0,0.4,0.036,0.588152,higher feature -> higher survival_target
immune_E_original_firstorder_MeanAbsoluteDeviation_mean,immune,E,firstorder,MeanAbsoluteDeviation,mean,0.001119,0.00037,0.001096,0.001142,0.331,423,363.0,138.0,458.0,0.0,0.0,0.033,0.620347,higher feature -> higher survival_target
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,E,firstorder,RobustMeanAbsoluteDeviation,mean,0.001115,0.00048,0.001085,0.001145,0.43,424,380.0,119.0,458.0,0.1,0.4,-0.1232,0.063291,higher feature -> lower survival_target
muscularis_H_original_firstorder_Variance_std,muscularis,H,firstorder,Variance,std,0.001109,0.000361,0.001086,0.001131,0.325,425,370.0,145.0,457.0,0.0,0.1,0.1347,0.042084,higher feature -> higher survival_target
muscularis_E_original_firstorder_Skewness_mean,muscularis,E,firstorder,Skewness,mean,0.001108,0.000343,0.001087,0.001129,0.31,426,367.0,153.9,455.0,0.0,0.1,0.0292,0.661027,higher feature -> higher survival_target
urothelium_E_original_firstorder_MeanAbsoluteDeviation_mean,urothelium,E,firstorder,MeanAbsoluteDeviation,mean,0.001098,0.000351,0.001076,0.00112,0.32,427,375.0,154.0,458.0,0.0,0.0,0.023,0.730087,higher feature -> higher survival_target
urothelium_E_original_firstorder_Variance_mean,urothelium,E,firstorder,Variance,mean,0.001084,0.000354,0.001062,0.001105,0.326,428,375.5,143.9,458.0,0.0,0.0,0.005,0.940044,higher feature -> higher survival_target
immune_E_original_firstorder_Median_mean,immune,E,firstorder,Median,mean,0.00108,0.000436,0.001053,0.001107,0.403,429,390.0,130.7,458.0,0.0,0.5,0.0757,0.255022,higher feature -> higher survival_target
muscularis_E_original_firstorder_TotalEnergy_mean,muscularis,E,firstorder,TotalEnergy,mean,0.001074,0.000353,0.001052,0.001096,0.329,430,378.0,150.0,458.0,0.0,0.0,-0.0713,0.283694,higher feature -> lower survival_target
muscularis_E_original_firstorder_Energy_mean,muscularis,E,firstorder,Energy,mean,0.001071,0.000351,0.00105,0.001093,0.327,431,382.0,154.9,457.0,0.0,0.0,-0.0713,0.283694,higher feature -> lower survival_target
urothelium_E_original_firstorder_InterquartileRange_mean,urothelium,E,firstorder,InterquartileRange,mean,0.001071,0.000316,0.001051,0.00109,0.295,432,379.0,173.9,454.0,0.0,0.0,0.0226,0.734436,higher feature -> higher survival_target
immune_E_original_firstorder_Mean_mean,immune,E,firstorder,Mean,mean,0.001068,0.00043,0.001041,0.001094,0.402,433,394.0,116.0,458.0,0.0,0.2,0.0774,0.244294,higher feature -> higher survival_target
adipose_E_original_firstorder_InterquartileRange_mean,adipose,E,firstorder,InterquartileRange,mean,0.001063,0.000429,0.001037,0.00109,0.404,434,395.0,139.0,459.0,0.0,0.2,-0.1136,0.087003,higher feature -> lower survival_target
necrosis_E_original_firstorder_Kurtosis_std,necrosis,E,firstorder,Kurtosis,std,0.001055,0.000349,0.001034,0.001077,0.331,435,386.0,160.9,456.0,0.1,0.2,-0.0495,0.456576,higher feature -> lower survival_target
lamina_E_original_firstorder_Kurtosis_mean,lamina,E,firstorder,Kurtosis,mean,0.001055,0.000346,0.001034,0.001077,0.328,436,384.0,169.0,459.0,0.0,0.2,-0.0796,0.231099,higher feature -> lower survival_target
immune_E_original_firstorder_Uniformity_mean,immune,E,firstorder,Uniformity,mean,0.001044,0.000399,0.00102,0.001069,0.382,437,399.0,134.9,459.0,0.0,0.1,-0.0907,0.172299,higher feature -> lower survival_target
lamina_E_original_firstorder_Kurtosis_std,lamina,E,firstorder,Kurtosis,std,0.001031,0.000321,0.001011,0.00105,0.312,438,390.0,168.9,458.0,0.0,0.1,-0.0488,0.46343,higher feature -> lower survival_target
muscularis_E_original_firstorder_Mean_mean,muscularis,E,firstorder,Mean,mean,0.001016,0.000331,0.000995,0.001036,0.326,439,397.5,175.9,459.0,0.0,0.0,-0.0208,0.754695,higher feature -> lower survival_target
immune_E_original_firstorder_Energy_mean,immune,E,firstorder,Energy,mean,0.001013,0.000377,0.00099,0.001036,0.372,440,405.5,150.9,458.0,0.0,0.1,0.0661,0.320606,higher feature -> higher survival_target
