region,n_features,sum_mean_importance,avg_mean_importance,best_rank,features_in_top20,features_in_top50,top_feature,top_feature_importance
adipose,61,0.2145,0.003516,1,15,19,adipose_H_original_firstorder_Uniformity_mean,0.01419
muscularis,57,0.144,0.002526,16,4,13,muscularis_E_original_firstorder_InterquartileRange_std,0.006645
vessels,66,0.1197,0.001814,12,1,8,vessels_H_original_firstorder_Skewness_mean,0.006974
lamina,65,0.1156,0.001779,23,0,6,lamina_H_original_firstorder_Entropy_mean,0.005259
necrosis,61,0.1099,0.001802,49,0,1,necrosis_E_original_firstorder_InterquartileRange_std,0.003584
urothelium,66,0.0997,0.001511,47,0,2,urothelium_E_original_firstorder_90Percentile_std,0.003715
tumor,62,0.0989,0.001595,59,0,0,tumor_H_original_firstorder_Kurtosis_std,0.003263
immune,66,0.0976,0.001479,33,0,1,immune_H_original_firstorder_Kurtosis_std,0.004525
