feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_E_original_firstorder_InterquartileRange_std,adipose,E,firstorder,InterquartileRange,std,0.0187,0.003533,0.018481,0.018919,0.189,1,2.0,1.0,4.0,100.0,100.0,-0.3265,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,E,firstorder,RobustMeanAbsoluteDeviation,std,0.018608,0.003319,0.018403,0.018814,0.178,2,2.0,1.0,4.0,100.0,100.0,-0.3285,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Variance_std,adipose,E,firstorder,Variance,std,0.01397,0.003265,0.013768,0.014173,0.234,3,3.0,2.0,11.0,99.5,100.0,-0.2944,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_MeanAbsoluteDeviation_std,adipose,E,firstorder,MeanAbsoluteDeviation,std,0.011752,0.003129,0.011558,0.011946,0.266,4,4.0,3.0,18.0,98.3,99.9,-0.2919,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_90Percentile_std,tils,H,firstorder,90Percentile,std,0.00931,0.003198,0.009112,0.009508,0.344,5,7.0,2.0,37.0,90.7,99.2,-0.2837,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_10Percentile_mean,dcis,E,firstorder,10Percentile,mean,0.007885,0.003811,0.007649,0.008121,0.483,6,11.0,2.0,83.0,69.9,92.0,0.1178,0.002923,higher feature -> higher survival_target
tils_H_original_firstorder_MeanAbsoluteDeviation_std,tils,H,firstorder,MeanAbsoluteDeviation,std,0.00727,0.002888,0.007091,0.007449,0.397,7,12.0,4.0,77.0,71.2,94.4,-0.2557,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tils,H,firstorder,RobustMeanAbsoluteDeviation,std,0.006909,0.002816,0.006735,0.007084,0.408,8,14.0,4.0,82.1,67.2,92.0,-0.2471,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Variance_std,tils,H,firstorder,Variance,std,0.006755,0.002635,0.006592,0.006918,0.39,9,14.5,4.0,79.0,67.1,90.9,-0.2458,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_RootMeanSquared_std,tils,H,firstorder,RootMeanSquared,std,0.006079,0.002568,0.005919,0.006238,0.423,10,18.0,5.0,105.1,55.4,85.0,-0.2447,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Entropy_std,tils,H,firstorder,Entropy,std,0.005941,0.002764,0.00577,0.006113,0.465,11,20.0,4.0,131.0,50.6,80.3,-0.2253,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_InterquartileRange_std,tils,H,firstorder,InterquartileRange,std,0.005913,0.002563,0.005754,0.006072,0.434,12,20.0,5.0,112.0,52.1,82.9,-0.2375,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_Variance_mean,dcis,H,firstorder,Variance,mean,0.00563,0.002237,0.005491,0.005769,0.397,13,22.0,5.0,85.0,45.9,86.3,-0.0876,0.027081,higher feature -> lower survival_target
adipose_E_original_firstorder_Median_std,adipose,E,firstorder,Median,std,0.005629,0.00208,0.0055,0.005758,0.37,14,21.5,5.0,99.1,48.3,85.7,-0.2089,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_90Percentile_std,stroma,H,firstorder,90Percentile,std,0.005425,0.002257,0.005286,0.005565,0.416,15,23.0,5.0,117.0,44.7,80.9,-0.2337,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_MeanAbsoluteDeviation_mean,dcis,H,firstorder,MeanAbsoluteDeviation,mean,0.005368,0.002027,0.005242,0.005493,0.378,16,24.0,5.0,106.0,42.6,84.1,-0.0785,0.047721,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.005204,0.001851,0.005089,0.005318,0.356,17,24.0,6.0,93.0,40.8,82.8,-0.2319,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.005134,0.001994,0.005011,0.005258,0.388,18,25.0,5.0,103.0,38.5,78.3,-0.2205,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Mean_std,tils,H,firstorder,Mean,std,0.004905,0.002279,0.004763,0.005046,0.465,19,31.0,6.0,168.0,33.9,68.8,-0.2166,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.004736,0.002261,0.004596,0.004876,0.477,20,33.0,5.0,163.0,30.5,64.9,0.1661,2.6e-05,higher feature -> higher survival_target
tdlu_H_original_firstorder_Entropy_std,tdlu,H,firstorder,Entropy,std,0.004701,0.002108,0.00457,0.004831,0.448,21,32.0,6.0,203.0,32.0,67.7,-0.2421,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,H,firstorder,MeanAbsoluteDeviation,std,0.004612,0.002169,0.004477,0.004746,0.47,22,35.0,6.0,180.1,28.1,64.0,-0.2214,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RootMeanSquared_std,adipose,E,firstorder,RootMeanSquared,std,0.004593,0.001899,0.004475,0.004711,0.413,23,33.0,7.0,156.0,29.8,67.8,-0.2165,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_RootMeanSquared_std,stroma,H,firstorder,RootMeanSquared,std,0.004399,0.001845,0.004285,0.004514,0.419,24,37.0,7.0,168.1,24.8,65.1,-0.2132,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_Median_mean,dcis,E,firstorder,Median,mean,0.004301,0.002059,0.004173,0.004429,0.479,25,42.0,7.0,204.0,25.1,58.5,0.1002,0.01142,higher feature -> higher survival_target
stroma_H_original_firstorder_Variance_std,stroma,H,firstorder,Variance,std,0.004295,0.001766,0.004185,0.004404,0.411,26,40.0,7.0,161.0,21.8,62.8,-0.2183,0.0,higher feature -> lower survival_target
tils_E_original_firstorder_Median_mean,tils,E,firstorder,Median,mean,0.004281,0.001361,0.004196,0.004365,0.318,27,36.0,9.0,123.0,20.8,69.8,0.1481,0.000178,higher feature -> higher survival_target
muscle_E_original_firstorder_Median_std,muscle,E,firstorder,Median,std,0.004015,0.001833,0.003901,0.004129,0.457,28,45.0,7.0,280.3,20.2,55.8,-0.1912,1e-06,higher feature -> lower survival_target
adipose_E_original_firstorder_90Percentile_std,adipose,E,firstorder,90Percentile,std,0.003981,0.001783,0.00387,0.004091,0.448,29,46.0,7.0,216.1,19.4,53.2,-0.2155,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_Skewness_std,tdlu,H,firstorder,Skewness,std,0.003979,0.00174,0.003871,0.004086,0.437,30,47.0,8.0,209.0,16.8,53.9,-0.1769,7e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.003924,0.001507,0.003831,0.004017,0.384,31,46.0,10.0,170.0,15.5,54.9,-0.2,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_InterquartileRange_std,dcis,H,firstorder,InterquartileRange,std,0.003919,0.00204,0.003793,0.004046,0.52,32,53.0,6.0,246.1,19.9,47.4,-0.0932,0.018768,higher feature -> lower survival_target
dcis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,dcis,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.003903,0.00147,0.003811,0.003994,0.377,33,45.0,10.0,166.0,14.1,55.2,-0.0373,0.347418,higher feature -> lower survival_target
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,E,firstorder,RobustMeanAbsoluteDeviation,mean,0.003806,0.001303,0.003726,0.003887,0.342,34,49.0,11.0,154.0,12.9,51.6,-0.1638,3.3e-05,higher feature -> lower survival_target
adipose_E_original_firstorder_Variance_mean,adipose,E,firstorder,Variance,mean,0.003774,0.001407,0.003687,0.003862,0.373,35,49.5,10.0,166.0,13.1,51.0,-0.1809,4e-06,higher feature -> lower survival_target
dcis_H_original_firstorder_InterquartileRange_mean,dcis,H,firstorder,InterquartileRange,mean,0.00376,0.001709,0.003654,0.003866,0.455,36,54.0,8.0,217.0,15.3,45.7,-0.0365,0.357488,higher feature -> lower survival_target
tdlu_H_original_firstorder_90Percentile_std,tdlu,H,firstorder,90Percentile,std,0.003738,0.00159,0.00364,0.003837,0.425,37,49.0,10.0,248.0,14.3,50.3,-0.2323,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_std,adipose,H,firstorder,Skewness,std,0.003626,0.001719,0.003519,0.003732,0.474,38,62.0,9.0,239.1,13.1,42.2,-0.195,1e-06,higher feature -> lower survival_target
vessels_E_original_firstorder_Entropy_std,vessels,E,firstorder,Entropy,std,0.003606,0.00208,0.003477,0.003735,0.577,39,67.0,8.0,312.1,15.5,39.3,-0.1397,0.000408,higher feature -> lower survival_target
tils_E_original_firstorder_MeanAbsoluteDeviation_std,tils,E,firstorder,MeanAbsoluteDeviation,std,0.00359,0.001778,0.00348,0.0037,0.495,40,59.5,8.0,295.1,14.8,42.2,-0.1328,0.000788,higher feature -> lower survival_target
