feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
muscle_H_original_firstorder_Maximum_mean,muscle,H,firstorder,Maximum,mean,8e-06,7e-06,7e-06,8e-06,0.994,504,501.0,488.0,508.0,0.0,0.0,0.0151,0.704524,higher feature -> higher survival_target
muscle_H_original_firstorder_Range_mean,muscle,H,firstorder,Range,mean,7e-06,8e-06,7e-06,8e-06,1.033,505,501.0,489.0,508.0,0.0,0.0,0.0151,0.704524,higher feature -> higher survival_target
muscle_H_original_firstorder_Range_std,muscle,H,firstorder,Range,std,7e-06,7e-06,7e-06,8e-06,0.978,506,501.0,489.0,508.0,0.0,0.0,-0.0151,0.704524,higher feature -> lower survival_target
stroma_E_original_firstorder_Range_mean,stroma,E,firstorder,Range,mean,0.0,3e-06,0.0,0.0,14.887,507,511.0,504.0,514.0,0.0,0.0,0.035,0.377666,higher feature -> higher survival_target
stroma_E_original_firstorder_Maximum_std,stroma,E,firstorder,Maximum,std,0.0,2e-06,0.0,0.0,11.515,508,511.0,503.0,514.0,0.0,0.0,-0.035,0.377666,higher feature -> lower survival_target
stroma_E_original_firstorder_Maximum_mean,stroma,E,firstorder,Maximum,mean,0.0,2e-06,0.0,0.0,11.392,509,511.0,503.0,514.0,0.0,0.0,0.035,0.377666,higher feature -> higher survival_target
stroma_E_original_firstorder_Range_std,stroma,E,firstorder,Range,std,0.0,3e-06,0.0,0.0,13.815,510,511.0,504.0,514.0,0.0,0.0,-0.035,0.377666,higher feature -> lower survival_target
adipose_H_original_firstorder_Range_std,adipose,H,firstorder,Range,std,0.0,0.0,0.0,0.0,13.512,511,508.0,504.0,514.0,0.0,0.0,-0.0223,0.575258,higher feature -> lower survival_target
adipose_H_original_firstorder_Maximum_std,adipose,H,firstorder,Maximum,std,0.0,0.0,0.0,0.0,12.022,512,509.0,504.0,514.0,0.0,0.0,-0.0223,0.575258,higher feature -> lower survival_target
tumor_H_original_firstorder_Range_std,tumor,H,firstorder,Range,std,0.0,0.0,-0.0,0.0,23.503,513,510.0,505.0,514.0,0.0,0.0,-0.0595,0.133582,higher feature -> lower survival_target
tumor_H_original_firstorder_Maximum_std,tumor,H,firstorder,Maximum,std,0.0,0.0,-0.0,0.0,31.623,514,510.0,505.0,514.0,0.0,0.0,-0.0595,0.133582,higher feature -> lower survival_target
