feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.013968,0.004212,0.013707,0.01423,0.302,1,3.5,1.0,20.0,97.5,99.7,-0.4377,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.013931,0.003944,0.013687,0.014176,0.283,2,3.0,1.0,19.0,97.8,100.0,0.4377,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.012975,0.00369,0.012746,0.013204,0.284,3,5.0,1.0,21.0,97.4,99.7,0.4314,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.012674,0.004275,0.012409,0.012939,0.337,4,5.0,1.0,31.0,94.2,99.2,-0.4226,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.012304,0.003645,0.012078,0.01253,0.296,5,6.0,1.0,25.0,96.0,99.6,-0.4399,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.011446,0.00337,0.011237,0.011655,0.294,6,7.0,2.0,27.0,95.0,98.9,0.4324,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_90Percentile_mean,adipose,H,firstorder,90Percentile,mean,0.01031,0.003029,0.010122,0.010498,0.294,7,9.0,3.0,31.0,92.7,99.0,0.4202,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Skewness_std,adipose,H,firstorder,Skewness,std,0.009956,0.004886,0.009653,0.010259,0.491,8,11.0,1.0,93.0,74.2,93.3,-0.3564,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.00957,0.003214,0.009371,0.009769,0.336,9,11.0,2.0,43.0,85.5,98.6,0.4201,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,H,firstorder,MeanAbsoluteDeviation,mean,0.008963,0.002791,0.00879,0.009136,0.311,10,12.0,4.0,43.0,82.4,98.6,0.4033,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Kurtosis_std,adipose,H,firstorder,Kurtosis,std,0.008501,0.00472,0.008208,0.008793,0.555,11,16.0,1.0,120.0,61.6,86.9,-0.2876,1.1e-05,higher feature -> lower survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.007949,0.003328,0.007742,0.008155,0.419,12,16.0,3.0,80.0,66.4,92.9,0.3993,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,H,firstorder,RootMeanSquared,mean,0.007279,0.002652,0.007115,0.007443,0.364,13,18.0,7.0,77.0,61.4,94.8,0.3988,0.0,higher feature -> higher survival_target
muscularis_E_original_firstorder_InterquartileRange_std,muscularis,E,firstorder,InterquartileRange,std,0.007211,0.0042,0.006951,0.007471,0.582,14,19.0,1.0,170.0,52.6,78.8,-0.3023,4e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_TotalEnergy_mean,adipose,H,firstorder,TotalEnergy,mean,0.007066,0.002716,0.006897,0.007234,0.384,15,19.0,6.0,83.0,56.4,91.7,0.3938,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Energy_mean,adipose,H,firstorder,Energy,mean,0.007046,0.002725,0.006877,0.007215,0.387,16,19.0,5.0,86.0,57.0,91.1,0.3938,0.0,higher feature -> higher survival_target
muscularis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscularis,E,firstorder,RobustMeanAbsoluteDeviation,std,0.006543,0.003881,0.006302,0.006783,0.593,17,23.0,2.0,201.0,45.2,74.4,-0.3046,3e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_Variance_mean,adipose,H,firstorder,Variance,mean,0.005578,0.002509,0.005423,0.005734,0.45,18,27.5,9.0,157.0,32.5,75.9,0.3621,0.0,higher feature -> higher survival_target
immune_H_original_firstorder_Uniformity_mean,immune,H,firstorder,Uniformity,mean,0.004866,0.002783,0.004694,0.005039,0.572,19,39.0,5.0,247.0,24.3,61.1,-0.3428,0.0,higher feature -> lower survival_target
muscularis_H_original_firstorder_Median_mean,muscularis,H,firstorder,Median,mean,0.004751,0.002828,0.004576,0.004927,0.595,20,40.0,6.0,319.0,23.5,59.3,0.3171,1e-06,higher feature -> higher survival_target
immune_H_original_firstorder_Entropy_mean,immune,H,firstorder,Entropy,mean,0.004709,0.002674,0.004543,0.004874,0.568,21,40.0,6.0,295.0,22.9,58.7,0.3332,0.0,higher feature -> higher survival_target
urothelium_E_original_firstorder_RootMeanSquared_std,urothelium,E,firstorder,RootMeanSquared,std,0.004619,0.00285,0.004442,0.004796,0.617,22,45.0,3.0,237.1,22.1,54.2,-0.2536,0.000112,higher feature -> lower survival_target
muscularis_E_original_firstorder_Variance_std,muscularis,E,firstorder,Variance,std,0.004616,0.003007,0.004429,0.004802,0.651,23,48.0,5.0,282.0,22.4,51.8,-0.2634,5.9e-05,higher feature -> lower survival_target
lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,E,firstorder,RobustMeanAbsoluteDeviation,std,0.004324,0.002641,0.00416,0.004488,0.611,24,50.0,5.0,258.4,16.2,50.6,-0.2785,2.1e-05,higher feature -> lower survival_target
muscularis_E_original_firstorder_MeanAbsoluteDeviation_std,muscularis,E,firstorder,MeanAbsoluteDeviation,std,0.004173,0.002496,0.004018,0.004328,0.598,25,52.0,6.0,312.1,16.3,48.7,-0.2837,1.4e-05,higher feature -> lower survival_target
lamina_E_original_firstorder_InterquartileRange_std,lamina,E,firstorder,InterquartileRange,std,0.004013,0.002395,0.003865,0.004162,0.597,26,55.0,7.0,263.1,12.7,47.2,-0.2683,4.2e-05,higher feature -> lower survival_target
immune_H_original_firstorder_Mean_mean,immune,H,firstorder,Mean,mean,0.0039,0.002516,0.003744,0.004056,0.645,27,60.5,9.0,334.0,13.5,43.0,0.3167,1e-06,higher feature -> higher survival_target
muscularis_H_original_firstorder_Uniformity_mean,muscularis,H,firstorder,Uniformity,mean,0.003818,0.002218,0.003681,0.003956,0.581,28,57.0,10.0,355.0,11.8,44.7,-0.3292,0.0,higher feature -> lower survival_target
necrosis_E_original_firstorder_InterquartileRange_std,necrosis,E,firstorder,InterquartileRange,std,0.003796,0.001579,0.003698,0.003894,0.416,29,54.0,13.0,209.0,8.9,46.8,-0.0949,0.154131,higher feature -> lower survival_target
urothelium_E_original_firstorder_Mean_std,urothelium,E,firstorder,Mean,std,0.003699,0.002287,0.003557,0.003841,0.618,30,65.0,9.0,320.2,12.6,39.2,-0.2298,0.000482,higher feature -> lower survival_target
lamina_H_original_firstorder_Skewness_std,lamina,H,firstorder,Skewness,std,0.003685,0.002183,0.00355,0.00382,0.592,31,65.0,10.0,298.0,11.1,39.6,-0.2891,1e-05,higher feature -> lower survival_target
lamina_H_original_firstorder_Median_mean,lamina,H,firstorder,Median,mean,0.003665,0.00211,0.003534,0.003796,0.576,32,61.0,12.0,351.0,10.6,41.9,0.3043,3e-06,higher feature -> higher survival_target
urothelium_E_original_firstorder_90Percentile_std,urothelium,E,firstorder,90Percentile,std,0.003664,0.002217,0.003527,0.003802,0.605,33,69.0,9.0,306.0,10.6,39.1,-0.2217,0.000767,higher feature -> lower survival_target
