region,n_features,sum_mean_importance,avg_mean_importance,best_rank,features_in_top20,features_in_top50,top_feature,top_feature_importance
adipose,61,0.2232,0.003659,1,16,18,adipose_H_original_firstorder_Skewness_mean,0.013968
muscularis,57,0.1291,0.002264,14,3,12,muscularis_E_original_firstorder_InterquartileRange_std,0.007211
necrosis,61,0.1115,0.001828,29,0,2,necrosis_E_original_firstorder_InterquartileRange_std,0.003796
immune,66,0.1114,0.001687,19,1,6,immune_H_original_firstorder_Uniformity_mean,0.004866
lamina,65,0.1113,0.001713,24,0,7,lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_std,0.004324
urothelium,66,0.1085,0.001644,22,0,3,urothelium_E_original_firstorder_RootMeanSquared_std,0.004619
tumor,62,0.1044,0.001683,83,0,0,tumor_H_original_firstorder_Kurtosis_std,0.002575
vessels,66,0.1007,0.001525,37,0,2,vessels_H_original_firstorder_Kurtosis_mean,0.003559
