feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.013207,0.004172,0.012948,0.013466,0.316,1,3.0,1.0,25.0,95.8,99.7,-0.443,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.012986,0.003927,0.012742,0.013229,0.302,2,4.0,1.0,24.0,97.2,99.4,-0.4419,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.01249,0.003723,0.012259,0.012721,0.298,3,5.0,1.0,24.0,96.0,99.5,0.441,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.012246,0.003942,0.012001,0.01249,0.322,4,5.0,1.0,30.0,93.9,99.3,-0.4261,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.010556,0.003644,0.010331,0.010782,0.345,5,8.0,1.0,44.0,89.2,98.1,0.4273,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.010453,0.003724,0.010223,0.010684,0.356,6,8.0,1.0,47.0,85.6,98.1,0.4263,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.008984,0.00293,0.008802,0.009165,0.326,7,12.0,3.0,48.0,79.7,97.8,0.4189,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_90Percentile_mean,adipose,H,firstorder,90Percentile,mean,0.00848,0.002734,0.008311,0.00865,0.322,8,14.0,5.0,60.0,74.3,96.8,0.4205,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,H,firstorder,MeanAbsoluteDeviation,mean,0.0084,0.002921,0.008219,0.008581,0.348,9,14.0,3.0,60.1,70.1,96.3,0.4137,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,H,firstorder,RootMeanSquared,mean,0.007636,0.002599,0.007475,0.007797,0.34,10,17.0,5.0,70.0,62.7,93.4,0.4096,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Variance_mean,adipose,H,firstorder,Variance,mean,0.00736,0.003043,0.007171,0.007548,0.414,11,19.0,2.0,86.0,53.0,88.8,0.3876,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_TotalEnergy_mean,adipose,H,firstorder,TotalEnergy,mean,0.007053,0.002544,0.006896,0.007211,0.361,12,20.0,6.0,80.0,51.8,89.9,0.4021,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Energy_mean,adipose,H,firstorder,Energy,mean,0.00704,0.002539,0.006883,0.007197,0.361,13,20.0,6.0,87.0,50.6,89.8,0.4021,0.0,higher feature -> higher survival_target
muscularis_E_original_firstorder_InterquartileRange_std,muscularis,E,firstorder,InterquartileRange,std,0.006725,0.004041,0.006474,0.006975,0.601,14,25.5,1.0,201.0,42.9,71.2,-0.2761,2.4e-05,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_std,adipose,H,firstorder,Kurtosis,std,0.00617,0.003633,0.005945,0.006395,0.589,15,30.0,2.0,199.0,36.1,69.5,-0.3109,2e-06,higher feature -> lower survival_target
immune_H_original_firstorder_Entropy_mean,immune,H,firstorder,Entropy,mean,0.006164,0.003118,0.00597,0.006357,0.506,16,26.5,3.0,162.1,37.6,75.0,0.3574,0.0,higher feature -> higher survival_target
immune_H_original_firstorder_Uniformity_mean,immune,H,firstorder,Uniformity,mean,0.006052,0.003229,0.005852,0.006253,0.534,17,29.0,3.0,196.0,36.0,71.8,-0.3625,0.0,higher feature -> lower survival_target
muscularis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscularis,E,firstorder,RobustMeanAbsoluteDeviation,std,0.005941,0.003641,0.005715,0.006167,0.613,18,32.0,2.0,225.2,33.6,65.2,-0.282,1.6e-05,higher feature -> lower survival_target
muscularis_E_original_firstorder_Variance_std,muscularis,E,firstorder,Variance,std,0.005935,0.003851,0.005696,0.006174,0.649,19,34.0,1.0,227.0,33.3,63.7,-0.2416,0.000238,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_std,adipose,H,firstorder,Skewness,std,0.005913,0.003336,0.005706,0.00612,0.564,20,31.0,3.0,180.0,34.0,67.4,-0.3394,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.005615,0.00272,0.005447,0.005784,0.484,21,32.0,7.0,193.0,29.2,69.6,0.3765,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_RootMeanSquared_mean,muscularis,H,firstorder,RootMeanSquared,mean,0.005589,0.002664,0.005424,0.005754,0.477,22,32.0,4.0,148.0,30.4,70.4,0.356,0.0,higher feature -> higher survival_target
lamina_H_original_firstorder_Skewness_std,lamina,H,firstorder,Skewness,std,0.005482,0.003514,0.005264,0.005699,0.641,23,37.0,2.0,269.0,29.6,58.6,-0.325,1e-06,higher feature -> lower survival_target
muscularis_H_original_firstorder_Skewness_std,muscularis,H,firstorder,Skewness,std,0.005245,0.003105,0.005053,0.005438,0.592,24,41.0,3.0,203.2,25.6,58.1,-0.3243,1e-06,higher feature -> lower survival_target
muscularis_H_original_firstorder_InterquartileRange_mean,muscularis,H,firstorder,InterquartileRange,mean,0.005176,0.002701,0.005008,0.005343,0.522,25,38.0,5.0,211.0,24.5,63.5,0.357,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Kurtosis_std,muscularis,H,firstorder,Kurtosis,std,0.004927,0.003515,0.00471,0.005145,0.713,26,50.0,2.0,295.0,22.6,50.3,-0.3067,2e-06,higher feature -> lower survival_target
muscularis_H_original_firstorder_Uniformity_mean,muscularis,H,firstorder,Uniformity,mean,0.004895,0.002408,0.004746,0.005044,0.492,27,40.0,8.0,217.0,20.3,61.3,-0.3708,0.0,higher feature -> lower survival_target
muscularis_H_original_firstorder_Entropy_mean,muscularis,H,firstorder,Entropy,mean,0.004846,0.002229,0.004708,0.004984,0.46,28,39.0,8.0,186.0,17.1,62.5,0.3677,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_MeanAbsoluteDeviation_mean,muscularis,H,firstorder,MeanAbsoluteDeviation,mean,0.004644,0.00238,0.004496,0.004791,0.513,29,44.0,7.0,241.0,16.8,56.3,0.3402,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Median_mean,muscularis,H,firstorder,Median,mean,0.0045,0.002673,0.004334,0.004666,0.594,30,52.0,7.0,292.0,16.9,49.1,0.3367,0.0,higher feature -> higher survival_target
