feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
urothelium_E_original_firstorder_RootMeanSquared_std,urothelium,E,firstorder,RootMeanSquared,std,0.004431,0.003074,0.00424,0.004621,0.694,31,61.5,2.0,302.0,20.8,43.7,-0.2274,0.000555,higher feature -> lower survival_target
muscularis_H_original_firstorder_Kurtosis_mean,muscularis,H,firstorder,Kurtosis,mean,0.004324,0.002131,0.004192,0.004456,0.493,32,50.0,10.0,218.0,13.3,50.1,-0.3512,0.0,higher feature -> lower survival_target
immune_H_original_firstorder_InterquartileRange_mean,immune,H,firstorder,InterquartileRange,mean,0.004147,0.002587,0.003987,0.004308,0.624,33,59.0,7.0,298.1,15.4,43.3,0.3294,0.0,higher feature -> higher survival_target
vessels_H_original_firstorder_Kurtosis_mean,vessels,H,firstorder,Kurtosis,mean,0.004124,0.002738,0.003955,0.004294,0.664,34,63.0,7.0,349.0,14.9,42.9,-0.278,2.1e-05,higher feature -> lower survival_target
muscularis_H_original_firstorder_Mean_mean,muscularis,H,firstorder,Mean,mean,0.004073,0.002232,0.003935,0.004212,0.548,35,59.0,10.0,274.1,10.8,44.2,0.3476,0.0,higher feature -> higher survival_target
necrosis_H_original_firstorder_90Percentile_std,necrosis,H,firstorder,90Percentile,std,0.004057,0.00181,0.003945,0.004169,0.446,36,56.0,9.0,167.0,9.6,44.9,-0.049,0.462531,higher feature -> lower survival_target
urothelium_E_original_firstorder_Kurtosis_mean,urothelium,E,firstorder,Kurtosis,mean,0.00404,0.002518,0.003884,0.004196,0.623,37,64.0,4.0,297.0,15.4,39.5,-0.2164,0.001035,higher feature -> lower survival_target
lamina_H_original_firstorder_Entropy_mean,lamina,H,firstorder,Entropy,mean,0.004035,0.002168,0.003901,0.00417,0.537,38,56.0,8.0,289.0,12.4,44.7,0.317,1e-06,higher feature -> higher survival_target
immune_H_original_firstorder_Mean_mean,immune,H,firstorder,Mean,mean,0.00402,0.002507,0.003865,0.004175,0.624,39,67.0,8.0,273.3,13.3,39.1,0.3277,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,muscularis,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.003901,0.001985,0.003778,0.004024,0.509,40,60.0,13.0,303.1,7.4,42.7,0.3493,0.0,higher feature -> higher survival_target
immune_H_original_firstorder_Kurtosis_std,immune,H,firstorder,Kurtosis,std,0.003887,0.002622,0.003724,0.004049,0.675,41,69.0,7.0,354.0,12.4,38.8,-0.304,3e-06,higher feature -> lower survival_target
vessels_H_original_firstorder_Kurtosis_std,vessels,H,firstorder,Kurtosis,std,0.003866,0.002518,0.00371,0.004022,0.651,42,71.5,7.0,312.0,12.9,38.2,-0.2205,0.000825,higher feature -> lower survival_target
lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,E,firstorder,RobustMeanAbsoluteDeviation,std,0.003768,0.002535,0.003611,0.003926,0.673,43,72.0,6.0,355.0,12.5,35.8,-0.251,0.000132,higher feature -> lower survival_target
lamina_H_original_firstorder_Uniformity_mean,lamina,H,firstorder,Uniformity,mean,0.003739,0.001983,0.003616,0.003862,0.53,44,66.0,11.0,285.1,8.4,38.1,-0.3208,1e-06,higher feature -> lower survival_target
necrosis_H_original_firstorder_RootMeanSquared_std,necrosis,H,firstorder,RootMeanSquared,std,0.00366,0.001287,0.003581,0.00374,0.352,45,61.0,16.0,159.0,4.2,36.5,0.0133,0.842303,higher feature -> higher survival_target
muscularis_H_original_firstorder_Energy_mean,muscularis,H,firstorder,Energy,mean,0.00365,0.001783,0.00354,0.003761,0.488,46,68.0,17.0,281.1,5.2,35.6,0.3416,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_TotalEnergy_mean,muscularis,H,firstorder,TotalEnergy,mean,0.003647,0.001778,0.003537,0.003757,0.488,47,67.0,17.0,282.0,5.1,35.7,0.3416,0.0,higher feature -> higher survival_target
immune_H_original_firstorder_Kurtosis_mean,immune,H,firstorder,Kurtosis,mean,0.003625,0.002144,0.003492,0.003758,0.591,48,72.0,11.0,335.0,9.1,35.8,-0.3341,0.0,higher feature -> lower survival_target
immune_H_original_firstorder_Skewness_std,immune,H,firstorder,Skewness,std,0.003528,0.002303,0.003385,0.003671,0.653,49,82.0,10.0,371.0,8.9,34.0,-0.321,1e-06,higher feature -> lower survival_target
muscularis_H_original_firstorder_90Percentile_mean,muscularis,H,firstorder,90Percentile,mean,0.003503,0.001694,0.003399,0.003608,0.484,50,70.5,18.0,295.0,3.3,31.4,0.3511,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Skewness_mean,muscularis,H,firstorder,Skewness,mean,0.003461,0.001845,0.003346,0.003575,0.533,51,78.0,15.0,300.0,5.6,30.7,-0.339,0.0,higher feature -> lower survival_target
lamina_H_original_firstorder_Kurtosis_std,lamina,H,firstorder,Kurtosis,std,0.003323,0.002128,0.003191,0.003455,0.64,52,90.0,10.0,353.1,8.4,27.9,-0.2379,0.000298,higher feature -> lower survival_target
urothelium_E_original_firstorder_90Percentile_std,urothelium,E,firstorder,90Percentile,std,0.003307,0.002075,0.003178,0.003435,0.627,53,91.0,10.0,328.0,7.1,28.1,-0.2164,0.001032,higher feature -> lower survival_target
urothelium_E_original_firstorder_RobustMeanAbsoluteDeviation_std,urothelium,E,firstorder,RobustMeanAbsoluteDeviation,std,0.003291,0.002029,0.003166,0.003417,0.617,54,89.0,9.0,313.0,8.1,27.6,-0.1455,0.028407,higher feature -> lower survival_target
lamina_H_original_firstorder_MeanAbsoluteDeviation_std,lamina,H,firstorder,MeanAbsoluteDeviation,std,0.003252,0.001634,0.003151,0.003353,0.503,55,81.0,16.0,287.1,4.2,27.3,-0.1478,0.025972,higher feature -> lower survival_target
immune_H_original_firstorder_Energy_mean,immune,H,firstorder,Energy,mean,0.003237,0.001719,0.00313,0.003343,0.531,56,86.5,16.0,309.1,5.2,26.8,0.298,5e-06,higher feature -> higher survival_target
lamina_E_original_firstorder_InterquartileRange_std,lamina,E,firstorder,InterquartileRange,std,0.003232,0.002154,0.003099,0.003366,0.666,57,96.0,9.0,374.0,6.6,26.4,-0.2363,0.000329,higher feature -> lower survival_target
immune_H_original_firstorder_TotalEnergy_mean,immune,H,firstorder,TotalEnergy,mean,0.003229,0.00169,0.003125,0.003334,0.523,58,86.0,16.0,302.1,5.0,27.0,0.298,5e-06,higher feature -> higher survival_target
urothelium_H_original_firstorder_RootMeanSquared_std,urothelium,H,firstorder,RootMeanSquared,std,0.00318,0.001635,0.003079,0.003281,0.514,59,82.0,16.0,318.1,4.2,26.3,-0.1067,0.108736,higher feature -> lower survival_target
necrosis_E_original_firstorder_Median_mean,necrosis,E,firstorder,Median,mean,0.003167,0.001913,0.003048,0.003285,0.604,60,90.5,13.0,372.0,7.0,27.5,0.1757,0.007976,higher feature -> higher survival_target
immune_H_original_firstorder_Median_std,immune,H,firstorder,Median,std,0.003162,0.001701,0.003057,0.003268,0.538,61,90.0,12.0,270.0,5.6,25.2,0.2043,0.001976,higher feature -> higher survival_target
urothelium_E_original_firstorder_Skewness_std,urothelium,E,firstorder,Skewness,std,0.003141,0.001694,0.003036,0.003246,0.539,62,86.0,13.0,322.2,4.9,23.4,-0.2067,0.001745,higher feature -> lower survival_target
necrosis_H_original_firstorder_Mean_std,necrosis,H,firstorder,Mean,std,0.003081,0.001039,0.003016,0.003145,0.337,63,81.0,26.0,199.0,1.4,18.5,0.0861,0.19627,higher feature -> higher survival_target
necrosis_E_original_firstorder_Mean_mean,necrosis,E,firstorder,Mean,mean,0.003057,0.001829,0.002944,0.003171,0.598,64,99.5,13.0,384.0,6.1,25.5,0.1681,0.011177,higher feature -> higher survival_target
lamina_H_original_firstorder_Mean_mean,lamina,H,firstorder,Mean,mean,0.003049,0.001708,0.002943,0.003155,0.56,65,97.0,15.0,341.0,3.8,22.8,0.3043,3e-06,higher feature -> higher survival_target
necrosis_E_original_firstorder_Uniformity_mean,necrosis,E,firstorder,Uniformity,mean,0.002958,0.001629,0.002857,0.003059,0.551,66,98.0,14.0,340.0,4.6,19.6,-0.1917,0.003736,higher feature -> lower survival_target
lamina_H_original_firstorder_InterquartileRange_std,lamina,H,firstorder,InterquartileRange,std,0.002957,0.001293,0.002877,0.003037,0.437,67,92.0,23.0,296.2,1.7,20.8,-0.0916,0.168807,higher feature -> lower survival_target
lamina_H_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,H,firstorder,RobustMeanAbsoluteDeviation,std,0.002957,0.001253,0.002879,0.003034,0.424,68,91.0,24.0,290.0,1.6,20.5,-0.0898,0.177443,higher feature -> lower survival_target
immune_H_original_firstorder_Skewness_mean,immune,H,firstorder,Skewness,mean,0.002938,0.00164,0.002837,0.00304,0.558,69,103.5,17.0,319.1,3.6,21.6,-0.2987,5e-06,higher feature -> lower survival_target
urothelium_H_original_firstorder_Median_std,urothelium,H,firstorder,Median,std,0.002936,0.001541,0.00284,0.003032,0.525,70,96.0,17.0,339.1,3.1,21.0,-0.0824,0.216361,higher feature -> lower survival_target
necrosis_E_original_firstorder_Entropy_mean,necrosis,E,firstorder,Entropy,mean,0.00292,0.001588,0.002822,0.003019,0.544,71,101.0,17.0,347.1,4.1,20.9,0.1846,0.00528,higher feature -> higher survival_target
immune_H_original_firstorder_90Percentile_mean,immune,H,firstorder,90Percentile,mean,0.002918,0.001821,0.002805,0.003031,0.624,72,104.5,15.0,381.0,4.1,20.5,0.3057,3e-06,higher feature -> higher survival_target
lamina_H_original_firstorder_90Percentile_std,lamina,H,firstorder,90Percentile,std,0.002895,0.001271,0.002817,0.002974,0.439,73,95.5,24.0,274.0,1.6,19.9,-0.1018,0.126166,higher feature -> lower survival_target
muscularis_E_original_firstorder_MeanAbsoluteDeviation_std,muscularis,E,firstorder,MeanAbsoluteDeviation,std,0.002894,0.001808,0.002781,0.003006,0.625,74,110.0,15.0,365.1,4.8,21.1,-0.2484,0.000156,higher feature -> lower survival_target
urothelium_H_original_firstorder_Mean_std,urothelium,H,firstorder,Mean,std,0.002873,0.001425,0.002784,0.002961,0.496,75,97.0,21.0,332.0,2.5,19.8,-0.0981,0.140457,higher feature -> lower survival_target
immune_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,immune,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.002855,0.001851,0.00274,0.00297,0.648,76,118.0,14.0,406.0,5.1,20.1,0.3051,3e-06,higher feature -> higher survival_target
urothelium_E_original_firstorder_Mean_std,urothelium,E,firstorder,Mean,std,0.002826,0.001768,0.002717,0.002936,0.626,77,120.0,14.0,369.0,5.3,19.0,-0.2023,0.002192,higher feature -> lower survival_target
tumor_H_original_firstorder_Kurtosis_std,tumor,H,firstorder,Kurtosis,std,0.002825,0.001968,0.002703,0.002947,0.697,78,127.0,11.0,368.0,4.9,20.5,-0.2094,0.001508,higher feature -> lower survival_target
tumor_H_original_firstorder_MeanAbsoluteDeviation_std,tumor,H,firstorder,MeanAbsoluteDeviation,std,0.002786,0.001189,0.002712,0.002859,0.427,79,98.0,22.0,268.0,1.9,13.8,-0.0962,0.14851,higher feature -> lower survival_target
urothelium_H_original_firstorder_90Percentile_std,urothelium,H,firstorder,90Percentile,std,0.002731,0.001314,0.002649,0.002812,0.481,80,105.0,25.0,352.2,1.3,17.1,-0.1027,0.122996,higher feature -> lower survival_target
necrosis_E_original_firstorder_10Percentile_std,necrosis,E,firstorder,10Percentile,std,0.002722,0.00146,0.002631,0.002812,0.537,81,111.0,19.0,344.0,3.1,15.7,0.1253,0.05936,higher feature -> higher survival_target
necrosis_E_original_firstorder_90Percentile_mean,necrosis,E,firstorder,90Percentile,mean,0.00272,0.001528,0.002626,0.002815,0.562,82,114.5,19.0,362.0,2.8,16.8,0.1477,0.026046,higher feature -> higher survival_target
urothelium_H_original_firstorder_10Percentile_std,urothelium,H,firstorder,10Percentile,std,0.002718,0.00118,0.002645,0.002791,0.434,83,103.0,26.0,318.0,1.0,16.1,-0.102,0.125373,higher feature -> lower survival_target
necrosis_E_original_firstorder_RootMeanSquared_mean,necrosis,E,firstorder,RootMeanSquared,mean,0.002707,0.001548,0.002612,0.002803,0.572,84,122.0,20.0,394.1,3.0,17.7,0.1535,0.020654,higher feature -> higher survival_target
necrosis_E_original_firstorder_MeanAbsoluteDeviation_std,necrosis,E,firstorder,MeanAbsoluteDeviation,std,0.002707,0.00128,0.002627,0.002786,0.473,85,108.0,23.0,307.0,1.9,15.5,-0.117,0.078514,higher feature -> lower survival_target
tumor_E_original_firstorder_Energy_mean,tumor,E,firstorder,Energy,mean,0.002687,0.001652,0.002585,0.002789,0.615,86,120.0,17.0,431.0,3.7,17.6,0.1496,0.02416,higher feature -> higher survival_target
tumor_E_original_firstorder_TotalEnergy_mean,tumor,E,firstorder,TotalEnergy,mean,0.002671,0.001626,0.00257,0.002771,0.609,87,123.0,16.0,430.1,3.9,18.3,0.1496,0.02416,higher feature -> higher survival_target
urothelium_E_original_firstorder_Kurtosis_std,urothelium,E,firstorder,Kurtosis,std,0.00267,0.00154,0.002574,0.002765,0.577,88,117.0,19.0,367.0,3.1,15.5,-0.1777,0.007291,higher feature -> lower survival_target
urothelium_H_original_firstorder_Entropy_std,urothelium,H,firstorder,Entropy,std,0.002665,0.001367,0.00258,0.00275,0.513,89,117.0,24.0,358.0,1.5,17.5,-0.1157,0.081836,higher feature -> lower survival_target
urothelium_H_original_firstorder_Kurtosis_std,urothelium,H,firstorder,Kurtosis,std,0.002662,0.001592,0.002564,0.002761,0.598,90,123.5,18.0,327.0,3.5,14.3,-0.1942,0.003298,higher feature -> lower survival_target
immune_H_original_firstorder_Median_mean,immune,H,firstorder,Median,mean,0.002642,0.001544,0.002546,0.002737,0.584,91,125.5,22.0,381.1,2.2,17.6,0.3101,2e-06,higher feature -> higher survival_target
immune_H_original_firstorder_RootMeanSquared_mean,immune,H,firstorder,RootMeanSquared,mean,0.002636,0.001576,0.002539,0.002734,0.598,92,125.5,21.0,394.0,2.5,17.0,0.2983,5e-06,higher feature -> higher survival_target
urothelium_E_original_firstorder_MeanAbsoluteDeviation_std,urothelium,E,firstorder,MeanAbsoluteDeviation,std,0.002605,0.00153,0.002511,0.0027,0.587,93,130.5,19.0,359.0,3.4,15.4,-0.1705,0.01006,higher feature -> lower survival_target
vessels_H_original_firstorder_Uniformity_mean,vessels,H,firstorder,Uniformity,mean,0.002576,0.00147,0.002485,0.002668,0.57,94,126.0,22.0,399.0,2.2,14.6,-0.3038,3e-06,higher feature -> lower survival_target
urothelium_H_original_firstorder_MeanAbsoluteDeviation_std,urothelium,H,firstorder,MeanAbsoluteDeviation,std,0.002563,0.001081,0.002496,0.00263,0.422,95,116.0,32.0,333.0,0.7,11.1,-0.0701,0.292781,higher feature -> lower survival_target
urothelium_E_original_firstorder_Skewness_mean,urothelium,E,firstorder,Skewness,mean,0.002558,0.001324,0.002475,0.00264,0.518,96,122.0,24.0,360.0,1.9,12.9,-0.1564,0.018381,higher feature -> lower survival_target
urothelium_E_original_firstorder_Entropy_std,urothelium,E,firstorder,Entropy,std,0.002556,0.001561,0.00246,0.002653,0.61,97,131.0,20.0,379.0,2.6,14.5,-0.1823,0.005863,higher feature -> lower survival_target
tumor_E_original_firstorder_RootMeanSquared_mean,tumor,E,firstorder,RootMeanSquared,mean,0.002553,0.001655,0.00245,0.002656,0.648,98,140.0,17.0,425.1,4.0,16.7,0.1587,0.01673,higher feature -> higher survival_target
vessels_H_original_firstorder_Entropy_mean,vessels,H,firstorder,Entropy,mean,0.002547,0.001382,0.002461,0.002633,0.543,99,123.5,23.0,402.0,1.9,14.1,0.2993,4e-06,higher feature -> higher survival_target
necrosis_H_original_firstorder_MeanAbsoluteDeviation_std,necrosis,H,firstorder,MeanAbsoluteDeviation,std,0.002522,0.001086,0.002454,0.002589,0.431,100,117.0,31.0,300.0,1.1,9.1,-0.0792,0.234618,higher feature -> lower survival_target
necrosis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,necrosis,H,firstorder,RobustMeanAbsoluteDeviation,std,0.002469,0.000845,0.002417,0.002521,0.342,101,116.0,36.0,254.0,0.4,6.6,-0.0233,0.726997,higher feature -> lower survival_target
tumor_E_original_firstorder_Median_mean,tumor,E,firstorder,Median,mean,0.002463,0.001544,0.002367,0.002558,0.627,102,141.5,17.0,429.0,3.1,13.8,0.1471,0.026723,higher feature -> higher survival_target
muscularis_E_original_firstorder_Median_std,muscularis,E,firstorder,Median,std,0.002458,0.001314,0.002377,0.00254,0.534,103,133.5,26.0,340.1,1.6,12.1,-0.2123,0.001294,higher feature -> lower survival_target
lamina_H_original_firstorder_RootMeanSquared_mean,lamina,H,firstorder,RootMeanSquared,mean,0.002457,0.00148,0.002365,0.002549,0.602,104,142.0,20.0,415.0,2.7,13.2,0.2908,8e-06,higher feature -> higher survival_target
muscularis_H_original_firstorder_Variance_mean,muscularis,H,firstorder,Variance,mean,0.002446,0.001337,0.002363,0.002529,0.547,105,137.0,23.0,384.1,1.3,11.8,0.3068,2e-06,higher feature -> higher survival_target
vessels_H_original_firstorder_Skewness_std,vessels,H,firstorder,Skewness,std,0.002436,0.001875,0.002319,0.002552,0.77,106,169.0,14.0,418.0,4.7,14.9,-0.2142,0.001167,higher feature -> lower survival_target
lamina_H_original_firstorder_Median_mean,lamina,H,firstorder,Median,mean,0.002429,0.001278,0.00235,0.002508,0.526,107,135.0,29.0,370.0,1.4,10.9,0.294,7e-06,higher feature -> higher survival_target
immune_H_original_firstorder_Energy_std,immune,H,firstorder,Energy,std,0.002407,0.001156,0.002336,0.002479,0.48,108,131.5,26.0,349.0,1.4,10.5,0.1858,0.004968,higher feature -> higher survival_target
urothelium_H_original_firstorder_Energy_std,urothelium,H,firstorder,Energy,std,0.002405,0.001183,0.002332,0.002479,0.492,109,137.0,29.0,375.1,1.1,9.8,-0.0876,0.1883,higher feature -> lower survival_target
urothelium_H_original_firstorder_TotalEnergy_std,urothelium,H,firstorder,TotalEnergy,std,0.002402,0.001169,0.00233,0.002475,0.487,110,134.0,29.0,375.0,0.6,9.5,-0.0876,0.1883,higher feature -> lower survival_target
immune_H_original_firstorder_TotalEnergy_std,immune,H,firstorder,TotalEnergy,std,0.002398,0.001155,0.002326,0.002469,0.482,111,133.0,26.0,356.0,1.6,9.8,0.1858,0.004968,higher feature -> higher survival_target
necrosis_E_original_firstorder_Energy_mean,necrosis,E,firstorder,Energy,mean,0.002393,0.001347,0.002309,0.002476,0.563,112,145.5,27.0,412.1,1.2,12.7,0.1503,0.023475,higher feature -> higher survival_target
muscularis_E_original_firstorder_10Percentile_mean,muscularis,E,firstorder,10Percentile,mean,0.00239,0.001412,0.002302,0.002477,0.591,113,146.0,19.0,389.1,2.6,11.8,0.1405,0.034346,higher feature -> higher survival_target
necrosis_E_original_firstorder_InterquartileRange_mean,necrosis,E,firstorder,InterquartileRange,mean,0.002387,0.001308,0.002306,0.002468,0.548,114,144.0,24.0,382.0,1.5,10.8,0.1539,0.020322,higher feature -> higher survival_target
necrosis_E_original_firstorder_TotalEnergy_mean,necrosis,E,firstorder,TotalEnergy,mean,0.002384,0.001359,0.0023,0.002468,0.57,115,150.0,27.0,421.0,1.3,13.1,0.1503,0.023475,higher feature -> higher survival_target
tumor_H_original_firstorder_10Percentile_mean,tumor,H,firstorder,10Percentile,mean,0.002379,0.00149,0.002286,0.002471,0.626,116,148.0,21.0,372.0,2.3,10.6,0.1116,0.09351,higher feature -> higher survival_target
vessels_H_original_firstorder_MeanAbsoluteDeviation_mean,vessels,H,firstorder,MeanAbsoluteDeviation,mean,0.002373,0.001402,0.002286,0.00246,0.591,117,149.5,22.0,422.0,2.0,11.9,0.2881,1e-05,higher feature -> higher survival_target
tumor_E_original_firstorder_Mean_mean,tumor,E,firstorder,Mean,mean,0.002371,0.001495,0.002279,0.002464,0.63,118,151.0,20.0,437.0,2.6,12.8,0.1531,0.020989,higher feature -> higher survival_target
necrosis_E_original_firstorder_InterquartileRange_std,necrosis,E,firstorder,InterquartileRange,std,0.002363,0.001121,0.002293,0.002432,0.474,119,136.0,30.0,355.0,0.8,10.4,-0.0731,0.272617,higher feature -> lower survival_target
vessels_H_original_firstorder_InterquartileRange_mean,vessels,H,firstorder,InterquartileRange,mean,0.002357,0.001352,0.002273,0.002441,0.574,120,145.0,24.0,424.0,1.6,11.6,0.2938,7e-06,higher feature -> higher survival_target
necrosis_H_original_firstorder_TotalEnergy_std,necrosis,H,firstorder,TotalEnergy,std,0.002351,0.000887,0.002296,0.002406,0.377,121,127.0,40.0,304.0,0.5,5.9,0.1459,0.028005,higher feature -> higher survival_target
