slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-DK-A1AA-01Z-00-DX1.11F015AE-3B8A-4827-93E2-54F8563BE248_tiles.jsonl,TCGA-DK-A1AA,Normal urothelium (benign mucosa),4486,4077
TCGA-DK-A1AA-01Z-00-DX1.11F015AE-3B8A-4827-93E2-54F8563BE248_tiles.jsonl,TCGA-DK-A1AA,Perivesical adipose tissue (extravesical fat),2910,2442
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Blood vessels (vasculature),3478,3135
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Inflammatory infiltrates (immune cells),1369,1150
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Invasive urothelial carcinoma (tumor),21965,21250
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Lamina propria (fibrovascular stroma),11247,10164
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Muscularis propria (detrusor muscle),2393,1830
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Necrosis,443,382
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Normal urothelium (benign mucosa),1577,1389
TCGA-DK-A1AB-01Z-00-DX1.D6032D7B-43EF-469B-A29D-D6DC41DB46D7_tiles.jsonl,TCGA-DK-A1AB,Perivesical adipose tissue (extravesical fat),3608,3408
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Blood vessels (vasculature),13736,12141
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Inflammatory infiltrates (immune cells),4751,3912
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Invasive urothelial carcinoma (tumor),33323,31607
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Lamina propria (fibrovascular stroma),3971,2820
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Muscularis propria (detrusor muscle),14692,12131
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Necrosis,9389,8881
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Normal urothelium (benign mucosa),5011,4229
TCGA-DK-A1AC-01Z-00-DX1.6F484315-00FC-4D41-86E2-16200DC61A04_tiles.jsonl,TCGA-DK-A1AC,Perivesical adipose tissue (extravesical fat),7289,6675
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Blood vessels (vasculature),12387,11849
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Inflammatory infiltrates (immune cells),3451,3049
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Invasive urothelial carcinoma (tumor),11860,11419
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Lamina propria (fibrovascular stroma),3901,3272
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Muscularis propria (detrusor muscle),3214,2615
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Necrosis,224,193
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Normal urothelium (benign mucosa),17472,16246
TCGA-DK-A1AD-01Z-00-DX1.1B438E00-C022-4CB8-994D-C4EE8E009F00_tiles.jsonl,TCGA-DK-A1AD,Perivesical adipose tissue (extravesical fat),3811,3426
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Blood vessels (vasculature),3475,3239
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Inflammatory infiltrates (immune cells),4920,4428
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Invasive urothelial carcinoma (tumor),32726,32260
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Lamina propria (fibrovascular stroma),4927,4120
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Muscularis propria (detrusor muscle),3853,3078
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Necrosis,1332,1280
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Normal urothelium (benign mucosa),2854,2411
TCGA-DK-A1AE-01Z-00-DX1.85F1B791-E0CD-479F-9C2D-E411981E4471_tiles.jsonl,TCGA-DK-A1AE,Perivesical adipose tissue (extravesical fat),2233,2132
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Blood vessels (vasculature),26714,24658
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Inflammatory infiltrates (immune cells),11710,10531
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Invasive urothelial carcinoma (tumor),4562,3690
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Lamina propria (fibrovascular stroma),21715,18280
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Muscularis propria (detrusor muscle),8166,5914
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Necrosis,1664,1593
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Normal urothelium (benign mucosa),15207,12845
TCGA-DK-A1AF-01Z-00-DX1.E18DE029-27A6-43A6-9E9D-D0225C7D5324_tiles.jsonl,TCGA-DK-A1AF,Perivesical adipose tissue (extravesical fat),7542,6725
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Blood vessels (vasculature),13450,12385
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Inflammatory infiltrates (immune cells),1242,982
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Invasive urothelial carcinoma (tumor),24628,23871
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Lamina propria (fibrovascular stroma),14547,13143
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Muscularis propria (detrusor muscle),4216,3381
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Necrosis,1234,1143
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Normal urothelium (benign mucosa),10281,9425
TCGA-DK-A1AG-01Z-00-DX1.1794B149-3C25-4C51-B96F-1EA24BCBBB3C_tiles.jsonl,TCGA-DK-A1AG,Perivesical adipose tissue (extravesical fat),7202,6770
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Blood vessels (vasculature),7852,7091
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Inflammatory infiltrates (immune cells),7197,6398
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Invasive urothelial carcinoma (tumor),11454,10939
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Lamina propria (fibrovascular stroma),16086,14184
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Muscularis propria (detrusor muscle),4593,3654
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Necrosis,192,154
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Normal urothelium (benign mucosa),2070,1663
TCGA-DK-A2HX-01Z-00-DX1.F5D261DF-5A52-4BF6-B892-89B245809F7B_tiles.jsonl,TCGA-DK-A2HX,Perivesical adipose tissue (extravesical fat),6876,6340
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Blood vessels (vasculature),5433,5070
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Inflammatory infiltrates (immune cells),581,484
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Invasive urothelial carcinoma (tumor),3861,3693
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Lamina propria (fibrovascular stroma),3850,3429
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Muscularis propria (detrusor muscle),3001,2536
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Necrosis,22,16
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Normal urothelium (benign mucosa),1351,1145
TCGA-DK-A2I1-01Z-00-DX1.7EBA720C-60F8-4012-95D2-F4B10FB74A18_tiles.jsonl,TCGA-DK-A2I1,Perivesical adipose tissue (extravesical fat),2381,2177
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Blood vessels (vasculature),7116,6573
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Inflammatory infiltrates (immune cells),18238,16600
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Invasive urothelial carcinoma (tumor),17508,16503
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Lamina propria (fibrovascular stroma),16055,13818
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Muscularis propria (detrusor muscle),8300,6550
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Necrosis,2084,1867
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Normal urothelium (benign mucosa),2877,2349
TCGA-DK-A2I2-01Z-00-DX1.FF39546E-EE64-4287-8CB5-585801A08519_tiles.jsonl,TCGA-DK-A2I2,Perivesical adipose tissue (extravesical fat),4622,4427
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Blood vessels (vasculature),4778,4488
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Inflammatory infiltrates (immune cells),2574,2131
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Invasive urothelial carcinoma (tumor),10516,10270
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Lamina propria (fibrovascular stroma),1771,1423
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Muscularis propria (detrusor muscle),2728,2187
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Necrosis,1567,1462
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Normal urothelium (benign mucosa),1906,1689
TCGA-DK-A2I4-01Z-00-DX1.2DE79A2D-575E-4D5A-A6E3-89D551A5FA46_tiles.jsonl,TCGA-DK-A2I4,Perivesical adipose tissue (extravesical fat),4880,4760
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Blood vessels (vasculature),12945,11732
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Inflammatory infiltrates (immune cells),2307,1795
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Invasive urothelial carcinoma (tumor),24923,24177
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Lamina propria (fibrovascular stroma),8073,6543
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Muscularis propria (detrusor muscle),4699,3477
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Necrosis,963,903
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Normal urothelium (benign mucosa),10926,9970
TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238_tiles.jsonl,TCGA-DK-A2I6,Perivesical adipose tissue (extravesical fat),6844,6285
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Blood vessels (vasculature),3423,3152
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Inflammatory infiltrates (immune cells),2066,1812
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Invasive urothelial carcinoma (tumor),11539,11106
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Lamina propria (fibrovascular stroma),5761,5135
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Muscularis propria (detrusor muscle),2815,2304
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Necrosis,485,440
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Normal urothelium (benign mucosa),1111,955
TCGA-DK-A3IK-01Z-00-DX1.2C3A7E93-113C-4321-94B1-7A228E4897F0_tiles.jsonl,TCGA-DK-A3IK,Perivesical adipose tissue (extravesical fat),13760,13585
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Blood vessels (vasculature),13979,12819
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Inflammatory infiltrates (immune cells),4038,3499
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Invasive urothelial carcinoma (tumor),5358,5109
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Lamina propria (fibrovascular stroma),14863,13178
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Muscularis propria (detrusor muscle),6225,5032
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Necrosis,308,266
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Normal urothelium (benign mucosa),6403,5485
TCGA-DK-A3IL-01Z-00-DX1.B3F0006E-CB53-4475-9576-3411C835B25A_tiles.jsonl,TCGA-DK-A3IL,Perivesical adipose tissue (extravesical fat),5146,4687
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Blood vessels (vasculature),7524,6952
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Inflammatory infiltrates (immune cells),2425,1924
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Invasive urothelial carcinoma (tumor),37047,36201
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Lamina propria (fibrovascular stroma),7431,6403
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Muscularis propria (detrusor muscle),6146,5124
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Necrosis,17186,16910
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Normal urothelium (benign mucosa),1995,1737
TCGA-DK-A3IM-01Z-00-DX1.ED1A8B22-566E-4A95-AF6D-7C9E536BE2B7_tiles.jsonl,TCGA-DK-A3IM,Perivesical adipose tissue (extravesical fat),12406,12070
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Blood vessels (vasculature),4688,4272
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Inflammatory infiltrates (immune cells),2225,1890
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Invasive urothelial carcinoma (tumor),14321,13834
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Lamina propria (fibrovascular stroma),12433,11171
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Muscularis propria (detrusor muscle),5223,4258
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Necrosis,2247,2182
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Normal urothelium (benign mucosa),3353,2886
TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0_tiles.jsonl,TCGA-DK-A3IN,Perivesical adipose tissue (extravesical fat),1590,1370
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Blood vessels (vasculature),11383,10425
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Inflammatory infiltrates (immune cells),2689,2288
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Invasive urothelial carcinoma (tumor),10746,10077
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Lamina propria (fibrovascular stroma),12200,10771
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Muscularis propria (detrusor muscle),7338,5948
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Necrosis,120,81
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Normal urothelium (benign mucosa),4547,3878
TCGA-DK-A3IQ-01Z-00-DX1.D68A6FD8-6E48-4FC1-BAF3-B80D6198EFAE_tiles.jsonl,TCGA-DK-A3IQ,Perivesical adipose tissue (extravesical fat),7297,6753
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Blood vessels (vasculature),7922,7479
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Inflammatory infiltrates (immune cells),220,174
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Invasive urothelial carcinoma (tumor),21800,21434
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Lamina propria (fibrovascular stroma),5187,4441
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Muscularis propria (detrusor muscle),5197,4368
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Necrosis,750,722
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Normal urothelium (benign mucosa),2620,2167
TCGA-DK-A3IS-01Z-00-DX1.31CABE32-36D7-4920-BF5A-9C9D8B54320F_tiles.jsonl,TCGA-DK-A3IS,Perivesical adipose tissue (extravesical fat),2384,2269
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Blood vessels (vasculature),4628,4344
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Inflammatory infiltrates (immune cells),2316,1976
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Invasive urothelial carcinoma (tumor),17657,17020
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Lamina propria (fibrovascular stroma),9499,8431
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Muscularis propria (detrusor muscle),5175,4227
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Necrosis,146,126
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Normal urothelium (benign mucosa),2729,2289
TCGA-DK-A3IT-01Z-00-DX1.819410F8-5E45-484B-8D98-0A3DAB314C6E_tiles.jsonl,TCGA-DK-A3IT,Perivesical adipose tissue (extravesical fat),3930,3787
TCGA-DK-A3IU-01Z-00-DX1.A624F891-20E8-48F6-8FAE-D046F30E257C_tiles.jsonl,TCGA-DK-A3IU,Blood vessels (vasculature),12109,11033
TCGA-DK-A3IU-01Z-00-DX1.A624F891-20E8-48F6-8FAE-D046F30E257C_tiles.jsonl,TCGA-DK-A3IU,Inflammatory infiltrates (immune cells),5447,4900
