slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Muscularis propria (detrusor muscle),19875,17788
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Necrosis,848,754
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Normal urothelium (benign mucosa),8284,7166
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Perivesical adipose tissue (extravesical fat),6265,5750
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Blood vessels (vasculature),16328,14765
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Inflammatory infiltrates (immune cells),657,535
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Invasive urothelial carcinoma (tumor),71221,69183
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Lamina propria (fibrovascular stroma),25717,24045
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Muscularis propria (detrusor muscle),4431,3739
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Necrosis,3906,3711
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Normal urothelium (benign mucosa),4253,3567
TCGA-2F-A9KT-01Z-00-DX1.ADD6D87C-0CC2-4B1F-A75F-108C9EB3970F_tiles.jsonl,TCGA-2F-A9KT,Perivesical adipose tissue (extravesical fat),1487,1275
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Blood vessels (vasculature),24040,21997
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Inflammatory infiltrates (immune cells),5513,4651
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Invasive urothelial carcinoma (tumor),16622,16034
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Lamina propria (fibrovascular stroma),22090,19426
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Muscularis propria (detrusor muscle),19283,16813
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Necrosis,513,459
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Normal urothelium (benign mucosa),10443,8988
TCGA-2F-A9KW-01Z-00-DX1.CECFDA2E-2CE7-4115-B4E6-A3D75B130232_tiles.jsonl,TCGA-2F-A9KW,Perivesical adipose tissue (extravesical fat),9016,8319
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Blood vessels (vasculature),5342,4849
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Inflammatory infiltrates (immune cells),315,213
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Invasive urothelial carcinoma (tumor),33678,33104
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Lamina propria (fibrovascular stroma),19032,17963
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Muscularis propria (detrusor muscle),11531,10455
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Necrosis,937,837
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Normal urothelium (benign mucosa),1818,1646
TCGA-4Z-AA7M-01Z-00-DX1.05317C75-A8F3-4124-95D2-F039BEFFE63A_tiles.jsonl,TCGA-4Z-AA7M,Perivesical adipose tissue (extravesical fat),4147,3913
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Blood vessels (vasculature),12213,11286
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Inflammatory infiltrates (immune cells),949,772
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Invasive urothelial carcinoma (tumor),11628,11007
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Lamina propria (fibrovascular stroma),6509,5535
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Muscularis propria (detrusor muscle),11549,10060
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Necrosis,585,520
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Normal urothelium (benign mucosa),6243,5366
TCGA-4Z-AA7N-01Z-00-DX1.10AA3499-6678-4DB2-9466-9CB3EA25CBB6_tiles.jsonl,TCGA-4Z-AA7N,Perivesical adipose tissue (extravesical fat),16884,16324
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Blood vessels (vasculature),8869,8246
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Inflammatory infiltrates (immune cells),463,379
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Invasive urothelial carcinoma (tumor),24777,24387
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Lamina propria (fibrovascular stroma),20124,18638
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Muscularis propria (detrusor muscle),9515,8271
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Necrosis,126,99
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Normal urothelium (benign mucosa),2407,1960
TCGA-4Z-AA7O-01Z-00-DX1.A45C32E8-AA40-4182-8A6F-986DFE56A748_tiles.jsonl,TCGA-4Z-AA7O,Perivesical adipose tissue (extravesical fat),5399,5159
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Blood vessels (vasculature),3681,3346
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Inflammatory infiltrates (immune cells),608,462
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Invasive urothelial carcinoma (tumor),25989,25116
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Lamina propria (fibrovascular stroma),16536,15247
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Muscularis propria (detrusor muscle),8813,7438
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Necrosis,1503,1354
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Normal urothelium (benign mucosa),2878,2469
TCGA-4Z-AA7Q-01Z-00-DX1.9C30EAED-8DE3-437C-8852-0C64B415AFA8_tiles.jsonl,TCGA-4Z-AA7Q,Perivesical adipose tissue (extravesical fat),1432,1346
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Blood vessels (vasculature),6503,5980
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Inflammatory infiltrates (immune cells),1002,854
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Invasive urothelial carcinoma (tumor),19964,19668
