feature,region,perm_mean,perm_std,impurity_mean
tumor_E_original_firstorder_Kurtosis_std,tumor,0.0006725334498117741,0.00013778821070436475,0.001295
urothelium_H_original_firstorder_InterquartileRange_mean,urothelium,0.000639427909080692,0.00035895093762573934,0.001848
lamina_H_original_firstorder_InterquartileRange_std,lamina,0.0006317720558329909,0.0005518877070479925,0.002104
lamina_E_original_firstorder_MeanAbsoluteDeviation_std,lamina,0.0006011563346978388,0.0006109336176305519,0.002702
tumor_E_original_firstorder_Median_mean,tumor,0.0005996686201221069,0.0004019934899653363,0.001826
immune_H_original_firstorder_RootMeanSquared_std,immune,0.0005994460096364063,0.0004782433124803092,0.001366
lamina_H_original_firstorder_Median_mean,lamina,0.0005967029238349575,0.00016925746807991366,0.003375
tumor_E_original_firstorder_Mean_std,tumor,0.0005946659549213251,0.0007539192901240835,0.001623
muscularis_E_original_firstorder_MeanAbsoluteDeviation_std,muscularis,0.000590201428662096,0.0020697115168182194,0.002973
tumor_H_original_firstorder_10Percentile_std,tumor,0.0005896497356051355,0.000429283980011299,0.002364
necrosis_E_original_firstorder_InterquartileRange_mean,necrosis,0.0005851803128157252,0.0005286147611582903,0.001717
muscularis_H_original_firstorder_InterquartileRange_mean,muscularis,0.0005596646038913744,0.0009053571786907772,0.003125
immune_H_original_firstorder_InterquartileRange_mean,immune,0.0005578928636562397,0.0015604591882938956,0.005887
immune_E_original_firstorder_10Percentile_std,immune,0.0005212651144189673,0.00027823960428403514,0.001563
lamina_E_original_firstorder_Kurtosis_std,lamina,0.0004970872838251039,0.00024521086976148494,0.001174
lamina_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,lamina,0.000496806845435116,0.0004841121167035068,0.00219
urothelium_E_original_firstorder_InterquartileRange_mean,urothelium,0.0004932301892260127,0.0003501961465911769,0.001334
necrosis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,necrosis,0.0004892818201897908,0.0005374957821706603,0.00304
necrosis_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,necrosis,0.0004861197183812727,0.00011264705421771,0.001713
adipose_E_original_firstorder_90Percentile_std,adipose,0.0004786197404726522,0.0004746572048028669,0.00157
necrosis_E_original_firstorder_MeanAbsoluteDeviation_std,necrosis,0.00047658655268547625,0.0020753289719471694,0.003834
tumor_E_original_firstorder_Median_std,tumor,0.0004692537814912079,0.0009984880701729903,0.001508
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,0.00046214661758721133,0.0007558190277268922,0.006853
adipose_H_original_firstorder_TotalEnergy_mean,adipose,0.00046199029563297466,0.00015371116581327875,0.004768
urothelium_H_original_firstorder_RootMeanSquared_std,urothelium,0.0004566363272782037,0.0003696718381387991,0.004266
urothelium_E_original_firstorder_Range_mean,urothelium,0.00045041126272811206,0.00023060890858649083,0.001346
muscularis_E_original_firstorder_Kurtosis_mean,muscularis,0.0004495984205078685,0.00031822169395417075,0.001645
lamina_H_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,0.00043200289431062356,0.000602804661370752,0.002118
lamina_H_original_firstorder_InterquartileRange_mean,lamina,0.0004217305084849965,0.0004970524010704882,0.002196
lamina_H_original_firstorder_Skewness_mean,lamina,0.00041369867625409287,0.000454522638444797,0.001789
adipose_E_original_firstorder_MeanAbsoluteDeviation_mean,adipose,0.0004076055081189689,0.00017763015580644887,0.001052
immune_E_original_firstorder_RootMeanSquared_std,immune,0.0004046578813690194,0.0003071694787411241,0.001296
immune_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,immune,0.0004028106827182132,0.00033512278827819476,0.005758
tumor_H_original_firstorder_Entropy_std,tumor,0.00039058266771990757,0.00024818882880738073,0.002028
necrosis_E_original_firstorder_Median_mean,necrosis,0.00038690789222074474,0.0003857103627349859,0.002455
immune_H_original_firstorder_Skewness_mean,immune,0.0003860798779155572,0.0015278417491081159,0.005503
immune_H_original_firstorder_MeanAbsoluteDeviation_std,immune,0.00038302639697046503,0.00023315028358750675,0.001631
urothelium_H_original_firstorder_Entropy_std,urothelium,0.00038138710779065386,0.0004417263327463936,0.002898
necrosis_E_original_firstorder_RootMeanSquared_std,necrosis,0.00037639174582065893,0.00029487963399160163,0.002506
tumor_H_original_firstorder_Energy_std,tumor,0.00037595555765810305,0.00016829030987506767,0.001646
immune_H_original_firstorder_90Percentile_std,immune,0.0003671175519211256,0.0003178656445899456,0.001728
urothelium_H_original_firstorder_TotalEnergy_std,urothelium,0.00036423626962134303,0.0003217300107759248,0.003695
urothelium_E_original_firstorder_Median_std,urothelium,0.0003592576347474785,0.00034795464973783275,0.001792
urothelium_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,urothelium,0.00035892942714692565,0.0002387852518139766,0.001636
tumor_H_original_firstorder_Skewness_mean,tumor,0.0003581088216439987,0.00029168305298765495,0.001654
tumor_H_original_firstorder_RootMeanSquared_std,tumor,0.0003576650844532403,0.0002483869895807514,0.001755
urothelium_H_original_firstorder_90Percentile_mean,urothelium,0.00035215641093718777,0.0003840802436091469,0.001768
muscularis_E_original_firstorder_InterquartileRange_mean,muscularis,0.0003498867360285041,0.00031694066776802803,0.002118
muscularis_H_original_firstorder_MeanAbsoluteDeviation_mean,muscularis,0.0003487345658418128,0.00020938073762243108,0.002334
vessels_E_original_firstorder_RobustMeanAbsoluteDeviation_std,vessels,0.00034805644174615844,0.001044774044993387,0.001933
immune_H_original_firstorder_10Percentile_std,immune,0.0003426394885997164,0.0002300268713117876,0.001834
necrosis_E_original_firstorder_Kurtosis_mean,necrosis,0.00034241771064695835,0.00013853539851501123,0.001558
urothelium_E_original_firstorder_Entropy_std,urothelium,0.00034182503997856053,0.0005650239965852516,0.00506
necrosis_H_original_firstorder_RootMeanSquared_mean,necrosis,0.00034151021106307853,0.0001611684859120393,0.002321
necrosis_E_original_firstorder_Variance_mean,necrosis,0.0003390162494944393,0.0003077553350711772,0.001667
tumor_E_original_firstorder_RootMeanSquared_std,tumor,0.0003329642534003585,0.00024099433351134345,0.001696
immune_E_original_firstorder_Mean_std,immune,0.00032605778486675117,0.00030967603524057965,0.001254
adipose_H_original_firstorder_90Percentile_mean,adipose,0.0003259663975017313,0.00042512203604035,0.006541
necrosis_H_original_firstorder_90Percentile_std,necrosis,0.00031862655549445005,0.0008923033946404364,0.002836
tumor_H_original_firstorder_10Percentile_mean,tumor,0.0003100412154648846,0.00035743611565865294,0.002034
adipose_E_original_firstorder_Mean_std,adipose,0.0003060501371022095,0.00025540802492193663,0.001443
lamina_E_original_firstorder_Skewness_std,lamina,0.0003048269978191742,0.0002056336671409819,0.001116
lamina_E_original_firstorder_InterquartileRange_mean,lamina,0.0002899639533562537,0.00018555885404379006,0.001388
urothelium_H_original_firstorder_Mean_mean,urothelium,0.00028493867780903236,0.00027245672263677255,0.001945
adipose_H_original_firstorder_Mean_mean,adipose,0.00028454869232712453,0.0018494094493749357,0.008264
muscularis_H_original_firstorder_10Percentile_std,muscularis,0.00028263707929527816,0.0003227227905911704,0.001686
lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,lamina,0.00028146922198174495,9.842302669159628e-05,0.001312
lamina_E_original_firstorder_10Percentile_mean,lamina,0.0002778717494582472,0.00047673731959361907,0.002515
lamina_E_original_firstorder_Entropy_std,lamina,0.00027388774943750695,0.00038035767481110603,0.001798
adipose_E_original_firstorder_Uniformity_mean,adipose,0.0002727133630053613,0.00024087774828843042,0.001234
tumor_E_original_firstorder_Skewness_std,tumor,0.0002706051576596757,0.00043117410178631537,0.00136
tumor_E_original_firstorder_Mean_mean,tumor,0.0002622170956641745,0.00019812044838544234,0.001766
lamina_E_original_firstorder_Energy_mean,lamina,0.0002617113745921995,0.0002888699587716984,0.001279
urothelium_H_original_firstorder_Entropy_mean,urothelium,0.0002613783026206518,0.00017173839748202755,0.00149
tumor_E_original_firstorder_MeanAbsoluteDeviation_mean,tumor,0.0002577745204051851,0.00017106129934263612,0.00176
necrosis_H_original_firstorder_Kurtosis_mean,necrosis,0.0002443798607188907,0.00012081265670519637,0.001727
tumor_E_original_firstorder_RobustMeanAbsoluteDeviation_std,tumor,0.00024193366623662672,0.0007660250982514957,0.002192
tumor_H_original_firstorder_Skewness_std,tumor,0.00024075425780994975,0.00038332849181241686,0.001713
vessels_E_original_firstorder_RootMeanSquared_mean,vessels,0.00024026630436930764,0.000188050500385452,0.000832
adipose_E_original_firstorder_Kurtosis_std,adipose,0.00023755270176739618,0.0002488827505618184,0.001326
immune_E_original_firstorder_Kurtosis_std,immune,0.00023386639421645316,0.00042217761898516584,0.001926
lamina_H_original_firstorder_MeanAbsoluteDeviation_std,lamina,0.00023156293603195932,0.0006768874278764033,0.002163
urothelium_H_original_firstorder_Median_std,urothelium,0.00023121899867106777,0.0002757971019586176,0.004217
lamina_E_original_firstorder_Median_mean,lamina,0.00023035337556479574,0.0003184350542940576,0.001593
adipose_H_original_firstorder_Energy_mean,adipose,0.00022249023864142625,0.0004404424208361557,0.004773
urothelium_E_original_firstorder_Energy_mean,urothelium,0.00022026424848610172,9.623807955607644e-05,0.001503
urothelium_H_original_firstorder_TotalEnergy_mean,urothelium,0.00021720000853410194,0.00023514750007484433,0.002387
vessels_E_original_firstorder_MeanAbsoluteDeviation_std,vessels,0.000214707924558577,0.0007857198317405719,0.002093
immune_H_original_firstorder_TotalEnergy_std,immune,0.00021399147590899225,0.0001525050954413342,0.001733
vessels_E_original_firstorder_TotalEnergy_mean,vessels,0.00021232241791304673,7.874976924433834e-05,0.000885
immune_H_original_firstorder_Entropy_std,immune,0.000211095836629438,0.00042001559491279566,0.001473
necrosis_E_original_firstorder_Kurtosis_std,necrosis,0.00021073678110102855,0.00023158056767212283,0.001311
muscularis_E_original_firstorder_Mean_mean,muscularis,0.0002091982957894034,0.0003417905907738997,0.001584
immune_E_original_firstorder_MeanAbsoluteDeviation_std,immune,0.0002067921562145303,0.00022049363200745548,0.001382
adipose_E_original_firstorder_Skewness_mean,adipose,0.0002060749672646911,0.00022808160273582074,0.001211
vessels_E_original_firstorder_RootMeanSquared_std,vessels,0.0002050640619543409,0.00032582173806014686,0.001486
necrosis_E_original_firstorder_MeanAbsoluteDeviation_mean,necrosis,0.00019927499093888023,0.0001150149566916638,0.001749
vessels_H_original_firstorder_90Percentile_std,vessels,0.00019556342676779748,0.00012444505060593138,0.001426
muscularis_H_original_firstorder_Kurtosis_mean,muscularis,0.00019146531045399762,0.0002134812209155936,0.002797
tumor_E_original_firstorder_Energy_mean,tumor,0.00019043654816882638,0.00013024944788501362,0.002009
adipose_E_original_firstorder_TotalEnergy_std,adipose,0.00018583087887690252,0.00011964743429923381,0.00125
adipose_H_original_firstorder_TotalEnergy_std,adipose,0.00018334131384338813,0.0004010041911175234,0.001808
immune_H_original_firstorder_RobustMeanAbsoluteDeviation_std,immune,0.00018326969224871092,0.00029194601147186064,0.003113
adipose_E_original_firstorder_90Percentile_mean,adipose,0.00018278845881934956,0.00011097678358297818,0.000947
tumor_H_original_firstorder_Variance_std,tumor,0.00017782087778857037,0.0005933258149613199,0.001761
vessels_E_original_firstorder_Kurtosis_mean,vessels,0.0001710056990693265,0.00017021875759584609,0.001657
muscularis_E_original_firstorder_Median_mean,muscularis,0.00016906418509995413,0.00012062799843071196,0.001299
lamina_H_original_firstorder_90Percentile_std,lamina,0.00016864063520668492,0.0006205824039587067,0.001829
vessels_E_original_firstorder_Entropy_mean,vessels,0.0001677719077906814,0.00012011788329208683,0.001078
muscularis_H_original_firstorder_Skewness_mean,muscularis,0.00016613962757195956,0.00031745854633044845,0.002256
