feature,region,perm_mean,perm_std,impurity_mean
muscle_H_original_firstorder_10Percentile_mean,muscle,0.0004725290501137902,0.00031560935092554167,0.001867
muscle_E_original_firstorder_Variance_std,muscle,0.0004697653234530419,0.0004004608019479101,0.003031
dcis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,dcis,0.00046223466907229226,0.00024052934393639815,0.002995
vessels_H_original_firstorder_RobustMeanAbsoluteDeviation_std,vessels,0.0004616597188096483,0.0001659992855974901,0.001418
dcis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,dcis,0.0004574036714931395,0.0005820487607477869,0.003626
dcis_H_original_firstorder_MeanAbsoluteDeviation_mean,dcis,0.0004554186106676017,0.0004998574356011036,0.003733
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,0.0004553059976489804,0.00019815387645296778,0.00259
tils_H_original_firstorder_Kurtosis_mean,tils,0.0004508297325213517,0.0003886006123381518,0.002182
adipose_H_original_firstorder_Entropy_mean,adipose,0.00044838211161846164,0.00017066181721980757,0.004736
tumor_E_original_firstorder_Skewness_std,tumor,0.00043383555590704727,0.00016246472010438877,0.001825
tdlu_H_original_firstorder_MeanAbsoluteDeviation_std,tdlu,0.0004261460913999038,0.00022346203978196254,0.004457
adipose_H_original_firstorder_Mean_mean,adipose,0.00042209396213459537,0.00022803978588114104,0.00401
dcis_H_original_firstorder_Skewness_std,dcis,0.0004052396109474832,0.0005364249982226601,0.003036
tumor_H_original_firstorder_Energy_std,tumor,0.0003998367365184108,0.00013957166750222231,0.002283
tils_H_original_firstorder_Variance_mean,tils,0.0003991633962973751,0.0008809299336612396,0.002539
adipose_E_original_firstorder_MeanAbsoluteDeviation_mean,adipose,0.000397512631029695,0.000260599266305388,0.002055
tumor_H_original_firstorder_Median_std,tumor,0.0003930685512626986,0.00031543049145571353,0.002065
muscle_E_original_firstorder_InterquartileRange_std,muscle,0.0003675634759195301,0.00014407400371755394,0.002924
stroma_H_original_firstorder_RobustMeanAbsoluteDeviation_std,stroma,0.00036457502350438763,0.00038366636000099083,0.003272
muscle_H_original_firstorder_MeanAbsoluteDeviation_std,muscle,0.0003643232540241681,0.00019585461469663376,0.001329
muscle_H_original_firstorder_Entropy_mean,muscle,0.000361642918386329,0.00012426148833786694,0.00123
muscle_H_original_firstorder_Mean_mean,muscle,0.0003613477888094518,0.00013671348688036884,0.001281
muscle_H_original_firstorder_Median_std,muscle,0.0003531554330452713,0.00013008215278988776,0.00144
dcis_E_original_firstorder_Variance_std,dcis,0.0003513787988890793,0.0004694164250727209,0.003123
vessels_H_original_firstorder_MeanAbsoluteDeviation_std,vessels,0.00034458695599999257,0.0005268660331399942,0.001741
muscle_H_original_firstorder_Median_mean,muscle,0.0003442423322550958,0.00027037046079384907,0.001803
dcis_H_original_firstorder_MeanAbsoluteDeviation_std,dcis,0.00033671550979836874,0.0002546060715510928,0.002896
adipose_E_original_firstorder_Variance_mean,adipose,0.0003339755665645816,0.00020782554066656252,0.002713
adipose_H_original_firstorder_InterquartileRange_mean,adipose,0.0003323858436890648,0.00013150233178815595,0.003767
dcis_H_original_firstorder_Entropy_mean,dcis,0.0003212053318360608,0.0003298297123755524,0.002071
tils_E_original_firstorder_RootMeanSquared_mean,tils,0.00031174721373846694,0.0001974723085909533,0.001976
tumor_H_original_firstorder_90Percentile_std,tumor,0.00029319940870748963,0.00021304843704379162,0.001557
adipose_H_original_firstorder_Kurtosis_std,adipose,0.00027320772554073613,0.0003253358515711523,0.002275
tils_E_original_firstorder_Mean_mean,tils,0.0002716413292777831,0.0001919808015350556,0.002605
vessels_E_original_firstorder_Variance_std,vessels,0.0002706666867560159,0.0005110761656012073,0.00165
tumor_H_original_firstorder_Median_mean,tumor,0.00027024826406516487,0.00011798333479163037,0.001585
tdlu_H_original_firstorder_Kurtosis_mean,tdlu,0.00026933686946488676,0.0002004887739793283,0.002079
vessels_H_original_firstorder_Variance_std,vessels,0.0002689386731328791,0.00028829292555762956,0.001646
tumor_H_original_firstorder_Mean_std,tumor,0.0002646820412748552,0.00016414391589178077,0.002049
muscle_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscle,0.0002512306594349978,0.00017726503301425443,0.002877
vessels_E_original_firstorder_90Percentile_std,vessels,0.0002506758488333372,0.00047812562440334314,0.001408
tumor_H_original_firstorder_RootMeanSquared_std,tumor,0.00024879395321858455,0.00035052158358854014,0.002173
tdlu_H_original_firstorder_Uniformity_mean,tdlu,0.0002312172750740693,0.00018356996778258093,0.001156
muscle_E_original_firstorder_Kurtosis_mean,muscle,0.0002272047891899609,0.00030120219817168244,0.001614
tils_E_original_firstorder_90Percentile_mean,tils,0.00022353736935252222,0.00024829314258609106,0.001547
dcis_E_original_firstorder_Mean_mean,dcis,0.00021884545188195493,0.0006502146478036843,0.002795
tumor_H_original_firstorder_TotalEnergy_std,tumor,0.00021546511135593914,0.00016934229213053876,0.002288
stroma_E_original_firstorder_Mean_mean,stroma,0.00021434390385687284,0.00020420672293059493,0.001218
vessels_H_original_firstorder_RootMeanSquared_mean,vessels,0.00021424006389491045,0.00010870196549844679,0.00105
tumor_E_original_firstorder_Maximum_mean,tumor,0.00021423261687306683,9.65439992980835e-05,0.001318
