feature,region,coef,hr,p,q
adipose_H_original_glcm_SumEntropy_mean,adipose,0.26149540502930274,1.298870973284141,0.00037086944774373013,0.06387873044947387
adipose_H_original_glcm_JointEntropy_mean,adipose,0.2587779846363825,1.2953461861468187,0.0003986946761601874,0.06387873044947387
adipose_H_original_firstorder_Entropy_mean,adipose,0.25956676636764814,1.2963683346271435,0.00041241108773260954,0.06387873044947387
adipose_H_original_glcm_JointEnergy_mean,adipose,-0.26244700734664034,0.7691671234953449,0.0004431434481925915,0.06387873044947387
adipose_H_original_glcm_DifferenceEntropy_mean,adipose,0.2605335178656618,1.2976222066502936,0.0004694609543355749,0.06387873044947387
adipose_H_original_firstorder_Uniformity_mean,adipose,-0.25887109611873527,0.7719225204396858,0.0005017100147942772,0.06387873044947387
adipose_H_original_firstorder_Skewness_mean,adipose,-0.27842586580693507,0.7569743833549186,0.0005254419660943797,0.06387873044947387
adipose_H_original_firstorder_90Percentile_mean,adipose,0.24887860154266564,1.2825863196177163,0.0006116516332264433,0.06506444248446291
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,0.24304130073169306,1.2751212864730839,0.0007732079410221633,0.07046628380291016
adipose_H_original_glcm_MaximumProbability_mean,adipose,-0.2404239399905517,0.7862944487369686,0.000828040937754526,0.07046628380291016
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,0.23495580089569362,1.2648528621338044,0.0011293540922969587,0.08737093932224653
adipose_H_original_glcm_SumSquares_mean,adipose,0.22297638867991884,1.2497910641707546,0.0013602261619485773,0.08980059123154494
adipose_H_original_glcm_ClusterTendency_mean,adipose,0.22079497343424148,1.2470677223390916,0.0015106281066107987,0.08980059123154494
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,0.22834441743289877,1.2565180176247213,0.0015392438445827998,0.08980059123154494
adipose_H_original_firstorder_Mean_mean,adipose,0.22806148649196192,1.2561625600870294,0.001582854134516068,0.08980059123154494
adipose_H_original_firstorder_Variance_mean,adipose,0.21658196577000183,1.2418248683139514,0.00190670687379869,0.10141297185016783
adipose_H_original_firstorder_InterquartileRange_mean,adipose,0.22191631039624912,1.2484668897927589,0.0020407228749925056,0.10215618627168366
adipose_H_original_firstorder_Kurtosis_mean,adipose,-0.2846679361863134,0.7522640125061516,0.0028725651452102515,0.12842852305684635
adipose_H_original_glcm_JointAverage_mean,adipose,0.21190966141955872,1.2360362182773361,0.003018296664085678,0.12842852305684635
adipose_H_original_glcm_SumAverage_mean,adipose,0.2119096614195586,1.236036218277336,0.003018296664085696,0.12842852305684635
