feature,region,coef,hr,p,q
tils_E_original_firstorder_Median_mean,tils,0.22997061599932003,1.2585630277692748,0.0017903745821632468,0.148859583754339
tumor_E_original_glcm_MaximumProbability_mean,tumor,-0.2997664860069515,0.7409912323020833,0.002007778393135132,0.148859583754339
tils_E_original_firstorder_Mean_mean,tils,0.22352879254763622,1.2504816443104505,0.0025572629452599908,0.148859583754339
tils_E_original_glcm_SumAverage_mean,tils,0.21827320913580897,1.2439268733840154,0.0027400067741907307,0.148859583754339
tils_E_original_glcm_JointAverage_mean,tils,0.21827320913580878,1.2439268733840152,0.0027400067741907464,0.148859583754339
tumor_E_original_glcm_MCC_mean,tumor,0.2922960188960919,1.3394994761130334,0.0028274458738719917,0.148859583754339
tils_H_original_firstorder_Entropy_std,tils,-0.27462255071771047,0.7598588772918808,0.0028423692169774243,0.148859583754339
stroma_E_original_glcm_MCC_mean,stroma,0.2908466219039732,1.3375594158997615,0.002846152149422646,0.148859583754339
tumor_E_original_glcm_SumEntropy_mean,tumor,0.2751231557713335,1.3166928232029158,0.002914916064804962,0.148859583754339
tumor_E_original_glcm_Correlation_mean,tumor,0.2864061071097743,1.3316331311408671,0.0031168946907651957,0.148859583754339
tils_E_original_glcm_MaximumProbability_mean,tils,-0.25742780420993483,0.7730374343472292,0.0031820535179502905,0.148859583754339
tumor_E_original_glcm_Imc2_mean,tumor,0.2969968072316525,1.3458110025784673,0.0032802977915703108,0.148859583754339
stroma_E_original_glcm_Correlation_mean,stroma,0.282560461630568,1.32652197635385,0.0033400288089093628,0.148859583754339
tumor_E_original_firstorder_Uniformity_mean,tumor,-0.2831124882223058,0.753435030525499,0.0035271550407388374,0.148859583754339
tils_E_original_glcm_Imc2_mean,tils,0.2670562159727465,1.3061138687285274,0.0035362357402799667,0.148859583754339
tils_E_original_glcm_SumEntropy_mean,tils,0.24761781138650585,1.2809702663775977,0.0036705826604238856,0.148859583754339
tils_E_original_glcm_MCC_mean,tils,0.263503798978514,1.3014822392353156,0.003703854859726545,0.148859583754339
tils_E_original_firstorder_RootMeanSquared_mean,tils,0.21879884386225631,1.2445808964193783,0.003725291069835277,0.148859583754339
