slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Adipose tissue (fat),1753,1676
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Blood vessels (vasculature),711,683
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Ductal carcinoma in situ (DCIS),4,4
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Fibrous desmoplastic stroma,384,322
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Invasive breast carcinoma (tumor cells),389,328
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Muscle tissue (smooth or skeletal muscle),532,466
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Necrosis or hemorrhage,4,4
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Normal breast glands and lobules (TDLU),2588,2438
TCGA-AC-A6IX-01Z-00-DX1.45B63C4F-9DC3-4CED-9DF9-0F86E647BEA3_tiles.jsonl,TCGA-AC-A6IX,Tumor-infiltrating lymphocytes (immune infiltrates),378,315
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Adipose tissue (fat),1222,1197
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Blood vessels (vasculature),667,642
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Ductal carcinoma in situ (DCIS),83,79
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Fibrous desmoplastic stroma,319,292
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Invasive breast carcinoma (tumor cells),150,133
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Muscle tissue (smooth or skeletal muscle),227,208
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Necrosis or hemorrhage,2,2
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Normal breast glands and lobules (TDLU),4088,4039
TCGA-AC-A6NO-01Z-00-DX1.61B7F48C-6D6E-4C1B-B236-DD130ECBDA9D_tiles.jsonl,TCGA-AC-A6NO,Tumor-infiltrating lymphocytes (immune infiltrates),10,7
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Adipose tissue (fat),3200,3113
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Blood vessels (vasculature),813,757
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Ductal carcinoma in situ (DCIS),6,6
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Fibrous desmoplastic stroma,1085,963
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Invasive breast carcinoma (tumor cells),261,218
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Muscle tissue (smooth or skeletal muscle),727,651
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Necrosis or hemorrhage,25,21
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Normal breast glands and lobules (TDLU),925,806
TCGA-AC-A7VB-01Z-00-DX1.62D7FDB3-280D-43B2-92EA-AB810384B0B7_tiles.jsonl,TCGA-AC-A7VB,Tumor-infiltrating lymphocytes (immune infiltrates),100,79
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Adipose tissue (fat),12856,12505
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Blood vessels (vasculature),2215,2022
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Ductal carcinoma in situ (DCIS),10,9
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Fibrous desmoplastic stroma,3786,3472
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Invasive breast carcinoma (tumor cells),555,424
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Muscle tissue (smooth or skeletal muscle),262,222
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Necrosis or hemorrhage,92,68
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Normal breast glands and lobules (TDLU),467,369
TCGA-AC-A7VC-01Z-00-DX1.EB247544-EADE-419C-B7A7-BB9CC978336F_tiles.jsonl,TCGA-AC-A7VC,Tumor-infiltrating lymphocytes (immune infiltrates),8,3
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Adipose tissue (fat),3572,3442
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Blood vessels (vasculature),864,811
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Ductal carcinoma in situ (DCIS),10,9
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Fibrous desmoplastic stroma,3062,2921
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Invasive breast carcinoma (tumor cells),22,14
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Muscle tissue (smooth or skeletal muscle),555,472
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Normal breast glands and lobules (TDLU),235,213
TCGA-AC-A8OP-01Z-00-DX1.A2AF501D-7DCD-4BE7-93A4-EBCAF0C0D54E_tiles.jsonl,TCGA-AC-A8OP,Tumor-infiltrating lymphocytes (immune infiltrates),35,25
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Adipose tissue (fat),5629,5325
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Blood vessels (vasculature),1482,1358
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Ductal carcinoma in situ (DCIS),17,10
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Fibrous desmoplastic stroma,4134,3688
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Invasive breast carcinoma (tumor cells),281,219
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Muscle tissue (smooth or skeletal muscle),3244,2914
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Necrosis or hemorrhage,122,107
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Normal breast glands and lobules (TDLU),2814,2580
TCGA-AC-A8OQ-01Z-00-DX1.15946A44-711C-4765-AB46-5CFB7BD11E42_tiles.jsonl,TCGA-AC-A8OQ,Tumor-infiltrating lymphocytes (immune infiltrates),74,61
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Adipose tissue (fat),3177,3104
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Blood vessels (vasculature),335,325
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Ductal carcinoma in situ (DCIS),219,187
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Fibrous desmoplastic stroma,56,43
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Invasive breast carcinoma (tumor cells),175,140
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Muscle tissue (smooth or skeletal muscle),95,86
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Necrosis or hemorrhage,14,13
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Normal breast glands and lobules (TDLU),727,660
TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3_tiles.jsonl,TCGA-AC-A8OR,Tumor-infiltrating lymphocytes (immune infiltrates),1,1
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Adipose tissue (fat),7437,7255
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Blood vessels (vasculature),194,179
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Ductal carcinoma in situ (DCIS),25,18
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Fibrous desmoplastic stroma,521,402
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Invasive breast carcinoma (tumor cells),361,282
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Muscle tissue (smooth or skeletal muscle),191,161
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Necrosis or hemorrhage,1,1
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Normal breast glands and lobules (TDLU),3599,3389
TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_tiles.jsonl,TCGA-AC-A8OS,Tumor-infiltrating lymphocytes (immune infiltrates),3,3
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Adipose tissue (fat),4172,3929
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Blood vessels (vasculature),244,231
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Ductal carcinoma in situ (DCIS),1,0
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Fibrous desmoplastic stroma,572,458
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Invasive breast carcinoma (tumor cells),3061,2745
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Muscle tissue (smooth or skeletal muscle),9241,8779
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Normal breast glands and lobules (TDLU),128,88
TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_tiles.jsonl,TCGA-AN-A03Y,Tumor-infiltrating lymphocytes (immune infiltrates),1203,951
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Adipose tissue (fat),689,536
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Blood vessels (vasculature),122,116
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Ductal carcinoma in situ (DCIS),8,7
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Fibrous desmoplastic stroma,4061,3547
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Invasive breast carcinoma (tumor cells),2091,1692
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Muscle tissue (smooth or skeletal muscle),9459,8857
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Normal breast glands and lobules (TDLU),916,694
TCGA-AN-A041-01Z-00-DX1.96D3628B-FB6E-4A41-A5E8-8896B0657F1C_tiles.jsonl,TCGA-AN-A041,Tumor-infiltrating lymphocytes (immune infiltrates),291,193
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Adipose tissue (fat),1391,1262
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Blood vessels (vasculature),183,175
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Ductal carcinoma in situ (DCIS),7,3
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Fibrous desmoplastic stroma,388,296
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Invasive breast carcinoma (tumor cells),5012,4660
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Muscle tissue (smooth or skeletal muscle),6753,6379
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Necrosis or hemorrhage,1,1
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Normal breast glands and lobules (TDLU),1070,922
TCGA-AN-A046-01Z-00-DX1.C529B94F-AFE3-4701-BC98-5D6EDF7B82C0_tiles.jsonl,TCGA-AN-A046,Tumor-infiltrating lymphocytes (immune infiltrates),528,425
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Adipose tissue (fat),4193,3746
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Blood vessels (vasculature),6510,5935
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Ductal carcinoma in situ (DCIS),193,133
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Fibrous desmoplastic stroma,6232,5245
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Invasive breast carcinoma (tumor cells),5837,4860
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Muscle tissue (smooth or skeletal muscle),16978,15370
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Necrosis or hemorrhage,38,37
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Normal breast glands and lobules (TDLU),12405,10831
TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_tiles.jsonl,TCGA-AN-A0AJ,Tumor-infiltrating lymphocytes (immune infiltrates),714,422
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Adipose tissue (fat),9432,8385
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Blood vessels (vasculature),7684,6659
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Ductal carcinoma in situ (DCIS),54,33
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Fibrous desmoplastic stroma,2356,1677
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Invasive breast carcinoma (tumor cells),9806,8301
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Muscle tissue (smooth or skeletal muscle),9449,7662
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Necrosis or hemorrhage,97,91
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Normal breast glands and lobules (TDLU),12486,10313
TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015_tiles.jsonl,TCGA-AN-A0AK,Tumor-infiltrating lymphocytes (immune infiltrates),3678,2510
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Adipose tissue (fat),5231,4501
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Blood vessels (vasculature),14610,13685
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Ductal carcinoma in situ (DCIS),71,41
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Fibrous desmoplastic stroma,2614,2181
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Invasive breast carcinoma (tumor cells),375,262
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Muscle tissue (smooth or skeletal muscle),4054,3504
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Necrosis or hemorrhage,1721,1645
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Normal breast glands and lobules (TDLU),17810,16835
TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_tiles.jsonl,TCGA-AN-A0AL,Tumor-infiltrating lymphocytes (immune infiltrates),368,243
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Adipose tissue (fat),2657,2458
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Blood vessels (vasculature),1098,958
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Ductal carcinoma in situ (DCIS),487,403
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Fibrous desmoplastic stroma,842,680
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Invasive breast carcinoma (tumor cells),2635,2206
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Muscle tissue (smooth or skeletal muscle),3762,3330
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Necrosis or hemorrhage,177,166
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Normal breast glands and lobules (TDLU),1293,992
TCGA-AN-A0AM-01Z-00-DX1.169CE39A-DD54-46D8-8D03-60B69A473CDB_tiles.jsonl,TCGA-AN-A0AM,Tumor-infiltrating lymphocytes (immune infiltrates),1828,1468
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Adipose tissue (fat),10240,9228
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Blood vessels (vasculature),2258,2027
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Ductal carcinoma in situ (DCIS),94,74
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Fibrous desmoplastic stroma,6219,5332
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Invasive breast carcinoma (tumor cells),3757,3180
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Muscle tissue (smooth or skeletal muscle),10926,9812
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Necrosis or hemorrhage,1940,1854
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Normal breast glands and lobules (TDLU),3966,3245
TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07_tiles.jsonl,TCGA-AN-A0AR,Tumor-infiltrating lymphocytes (immune infiltrates),1613,1148
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Adipose tissue (fat),4379,4164
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Blood vessels (vasculature),320,256
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Ductal carcinoma in situ (DCIS),291,237
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Fibrous desmoplastic stroma,2183,1924
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Invasive breast carcinoma (tumor cells),5653,5220
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Muscle tissue (smooth or skeletal muscle),3386,3033
TCGA-AN-A0AS-01Z-00-DX1.51E551E9-E5F4-4C94-9B25-71DA41109E92_tiles.jsonl,TCGA-AN-A0AS,Necrosis or hemorrhage,2,2
