slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Ductal carcinoma in situ (DCIS),44,35
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Fibrous desmoplastic stroma,3287,2734
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Invasive breast carcinoma (tumor cells),3441,2911
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Muscle tissue (smooth or skeletal muscle),1022,849
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Necrosis or hemorrhage,18,17
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Normal breast glands and lobules (TDLU),5628,4924
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_tiles.jsonl,TCGA-4H-AAAK,Tumor-infiltrating lymphocytes (immune infiltrates),349,211
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Adipose tissue (fat),723,646
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Blood vessels (vasculature),986,929
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Ductal carcinoma in situ (DCIS),379,318
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Fibrous desmoplastic stroma,378,325
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Invasive breast carcinoma (tumor cells),1398,1268
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Muscle tissue (smooth or skeletal muscle),9791,9543
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Necrosis or hemorrhage,29,23
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Normal breast glands and lobules (TDLU),28,18
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861_tiles.jsonl,TCGA-5L-AAT0,Tumor-infiltrating lymphocytes (immune infiltrates),81,50
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Adipose tissue (fat),6554,6371
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Blood vessels (vasculature),931,885
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Ductal carcinoma in situ (DCIS),84,55
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Fibrous desmoplastic stroma,65,47
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Invasive breast carcinoma (tumor cells),560,457
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Muscle tissue (smooth or skeletal muscle),1229,1142
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Necrosis or hemorrhage,4,4
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Normal breast glands and lobules (TDLU),981,919
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_tiles.jsonl,TCGA-5L-AAT1,Tumor-infiltrating lymphocytes (immune infiltrates),351,291
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Adipose tissue (fat),30678,29219
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Blood vessels (vasculature),2807,2507
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Ductal carcinoma in situ (DCIS),660,539
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Fibrous desmoplastic stroma,3688,2997
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Invasive breast carcinoma (tumor cells),17491,16063
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Muscle tissue (smooth or skeletal muscle),10046,8881
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Necrosis or hemorrhage,250,233
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Normal breast glands and lobules (TDLU),13302,11575
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1_tiles.jsonl,TCGA-5T-A9QA,Tumor-infiltrating lymphocytes (immune infiltrates),7845,6694
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Adipose tissue (fat),6407,5921
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Blood vessels (vasculature),3610,3374
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Ductal carcinoma in situ (DCIS),846,722
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Fibrous desmoplastic stroma,4531,4193
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Invasive breast carcinoma (tumor cells),532,377
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Muscle tissue (smooth or skeletal muscle),4379,3838
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Necrosis or hemorrhage,27,20
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Normal breast glands and lobules (TDLU),5850,5352
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1_tiles.jsonl,TCGA-A1-A0SB,Tumor-infiltrating lymphocytes (immune infiltrates),565,437
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Adipose tissue (fat),6218,5690
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Blood vessels (vasculature),2708,2464
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Ductal carcinoma in situ (DCIS),1639,1433
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Fibrous desmoplastic stroma,2726,2273
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Invasive breast carcinoma (tumor cells),2213,1810
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Muscle tissue (smooth or skeletal muscle),5857,5297
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Necrosis or hemorrhage,170,134
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Normal breast glands and lobules (TDLU),4506,4042
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F_tiles.jsonl,TCGA-A1-A0SD,Tumor-infiltrating lymphocytes (immune infiltrates),564,422
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Adipose tissue (fat),6078,4974
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Blood vessels (vasculature),5415,4997
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Ductal carcinoma in situ (DCIS),1118,934
