feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,E,firstorder,RobustMeanAbsoluteDeviation,std,0.019964,0.003032,0.019777,0.020152,0.152,1,1.0,1.0,3.0,100.0,100.0,-0.3795,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_InterquartileRange_std,adipose,E,firstorder,InterquartileRange,std,0.019287,0.003135,0.019093,0.019481,0.163,2,2.0,1.0,4.0,100.0,100.0,-0.3756,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Variance_std,adipose,E,firstorder,Variance,std,0.017137,0.002996,0.016951,0.017323,0.175,3,3.0,1.0,5.0,100.0,100.0,-0.3567,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_MeanAbsoluteDeviation_std,adipose,E,firstorder,MeanAbsoluteDeviation,std,0.014776,0.002977,0.014592,0.014961,0.201,4,4.0,2.0,8.0,100.0,100.0,-0.3527,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RootMeanSquared_std,adipose,E,firstorder,RootMeanSquared,std,0.009926,0.002934,0.009744,0.010108,0.296,5,6.0,4.0,34.0,93.6,99.1,-0.2841,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Median_std,adipose,E,firstorder,Median,std,0.007671,0.002333,0.007527,0.007816,0.304,6,10.0,5.0,52.0,81.0,97.2,-0.2606,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.007572,0.002925,0.00739,0.007753,0.386,7,11.0,4.0,73.0,73.9,93.7,0.2155,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.006751,0.002149,0.006618,0.006884,0.318,8,14.0,5.0,62.0,70.1,94.5,-0.2678,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_90Percentile_std,adipose,E,firstorder,90Percentile,std,0.006691,0.00232,0.006547,0.006835,0.347,9,14.0,5.0,82.1,65.8,90.8,-0.2731,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.006587,0.002394,0.006439,0.006735,0.363,10,15.0,5.0,78.0,63.2,91.3,-0.2576,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_90Percentile_std,tils,H,firstorder,90Percentile,std,0.005919,0.002259,0.005778,0.006059,0.382,11,20.0,5.0,97.0,51.4,86.7,-0.2776,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.005656,0.001908,0.005538,0.005775,0.337,12,21.0,6.0,82.0,47.8,88.0,-0.2414,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_90Percentile_std,stroma,H,firstorder,90Percentile,std,0.005601,0.002404,0.005452,0.00575,0.429,13,23.0,5.0,131.0,45.0,79.0,-0.2399,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Mean_std,adipose,E,firstorder,Mean,std,0.005206,0.001849,0.005092,0.005321,0.355,14,26.0,7.0,116.0,39.2,79.2,-0.2513,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Uniformity_mean,adipose,E,firstorder,Uniformity,mean,0.005179,0.002243,0.00504,0.005318,0.433,15,29.0,5.0,135.0,36.2,75.4,-0.0376,0.344258,higher feature -> lower survival_target
muscle_E_original_firstorder_Median_std,muscle,E,firstorder,Median,std,0.005089,0.002082,0.00496,0.005218,0.409,16,28.0,6.0,154.1,37.4,73.7,-0.2444,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_10Percentile_mean,dcis,E,firstorder,10Percentile,mean,0.005075,0.002169,0.004941,0.00521,0.427,17,31.0,5.0,123.1,34.3,73.1,0.1404,0.000382,higher feature -> higher survival_target
tdlu_H_original_firstorder_Entropy_std,tdlu,H,firstorder,Entropy,std,0.004994,0.001976,0.004871,0.005116,0.396,18,29.0,6.0,158.0,36.5,74.7,-0.275,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscle,E,firstorder,RobustMeanAbsoluteDeviation,std,0.004874,0.002071,0.004745,0.005002,0.425,19,30.0,7.0,187.1,34.9,69.4,-0.2432,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_Variance_std,muscle,E,firstorder,Variance,std,0.004836,0.00184,0.004722,0.00495,0.38,20,30.0,7.0,138.0,31.5,70.4,-0.244,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Variance_std,tils,H,firstorder,Variance,std,0.004803,0.001794,0.004692,0.004914,0.373,21,32.0,7.0,113.0,27.9,72.2,-0.2526,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.004779,0.001627,0.004679,0.00488,0.34,22,32.0,8.0,100.1,28.7,73.5,0.2109,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.004671,0.001475,0.00458,0.004763,0.316,23,33.0,11.0,104.0,24.1,74.6,0.2327,0.0,higher feature -> higher survival_target
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,H,firstorder,MeanAbsoluteDeviation,std,0.00454,0.002216,0.004403,0.004678,0.488,24,40.0,6.0,191.2,26.1,59.2,-0.2224,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_TotalEnergy_std,adipose,E,firstorder,TotalEnergy,std,0.004465,0.001558,0.004368,0.004561,0.349,25,36.5,9.0,133.1,23.1,64.8,-0.2395,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Energy_std,adipose,E,firstorder,Energy,std,0.004462,0.00155,0.004366,0.004559,0.347,26,37.0,9.0,128.0,22.4,65.5,-0.2395,0.0,higher feature -> lower survival_target
muscle_E_original_firstorder_InterquartileRange_std,muscle,E,firstorder,InterquartileRange,std,0.004459,0.00194,0.004339,0.004579,0.435,27,38.0,9.0,210.0,25.5,61.7,-0.2404,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Mean_std,tils,H,firstorder,Mean,std,0.004431,0.001951,0.00431,0.004552,0.44,28,39.0,7.0,186.0,23.6,61.1,-0.2305,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_90Percentile_std,tdlu,H,firstorder,90Percentile,std,0.004409,0.001846,0.004295,0.004524,0.419,29,40.0,7.0,172.1,25.0,60.6,-0.263,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.004369,0.001376,0.004284,0.004454,0.315,30,38.0,11.0,119.0,18.1,66.2,0.2282,0.0,higher feature -> higher survival_target
muscle_E_original_firstorder_MeanAbsoluteDeviation_std,muscle,E,firstorder,MeanAbsoluteDeviation,std,0.004294,0.001919,0.004175,0.004413,0.447,31,42.0,8.0,237.1,24.1,56.7,-0.2339,0.0,higher feature -> lower survival_target
