feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_E_original_firstorder_InterquartileRange_std,adipose,E,firstorder,InterquartileRange,std,0.017948,0.003407,0.017737,0.018159,0.19,1,1.0,1.0,4.0,100.0,100.0,-0.3334,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,E,firstorder,RobustMeanAbsoluteDeviation,std,0.017483,0.003284,0.017279,0.017686,0.188,2,2.0,1.0,4.0,100.0,100.0,-0.3346,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Variance_std,adipose,E,firstorder,Variance,std,0.013474,0.003023,0.013286,0.013661,0.224,3,4.0,2.0,14.0,99.6,100.0,-0.2995,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_MeanAbsoluteDeviation_std,adipose,E,firstorder,MeanAbsoluteDeviation,std,0.012846,0.003242,0.012645,0.013046,0.252,4,4.0,2.0,18.0,98.1,99.8,-0.3071,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RootMeanSquared_std,adipose,E,firstorder,RootMeanSquared,std,0.007418,0.002627,0.007255,0.007581,0.354,5,11.0,5.0,65.1,71.9,93.5,-0.2392,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_10Percentile_mean,dcis,E,firstorder,10Percentile,mean,0.006889,0.0029,0.006709,0.007069,0.421,6,15.0,3.0,83.0,61.8,89.7,0.1738,1e-05,higher feature -> higher survival_target
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,H,firstorder,MeanAbsoluteDeviation,std,0.006762,0.003053,0.006572,0.006951,0.452,7,15.0,3.0,122.1,61.0,85.3,-0.2301,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_90Percentile_std,stroma,H,firstorder,90Percentile,std,0.006459,0.002729,0.00629,0.006628,0.423,8,17.0,4.0,111.0,58.6,87.9,-0.2269,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_RootMeanSquared_std,tils,H,firstorder,RootMeanSquared,std,0.006456,0.002411,0.006307,0.006606,0.373,9,16.0,5.0,97.0,61.0,89.8,-0.2683,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_90Percentile_std,tils,H,firstorder,90Percentile,std,0.006353,0.002228,0.006215,0.006491,0.351,10,17.0,5.0,93.0,61.5,90.7,-0.275,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.00589,0.0022,0.005754,0.006026,0.374,11,20.0,5.0,88.0,50.4,87.9,-0.2057,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_MeanAbsoluteDeviation_std,tils,H,firstorder,MeanAbsoluteDeviation,std,0.005815,0.002203,0.005678,0.005951,0.379,12,21.0,5.0,103.0,48.9,85.4,-0.2622,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.005767,0.001984,0.005644,0.005889,0.344,13,21.0,5.0,73.0,47.6,90.2,-0.232,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_TotalEnergy_std,tils,H,firstorder,TotalEnergy,std,0.005691,0.002262,0.005551,0.005831,0.397,14,23.0,5.0,101.0,45.0,83.2,-0.2397,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Energy_std,tils,H,firstorder,Energy,std,0.005682,0.002243,0.005543,0.005821,0.395,15,23.0,5.0,100.0,44.7,82.8,-0.2397,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.005652,0.002354,0.005506,0.005798,0.417,16,23.5,5.0,103.0,44.3,81.3,0.1768,7e-06,higher feature -> higher survival_target
tils_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tils,H,firstorder,RobustMeanAbsoluteDeviation,std,0.005608,0.002165,0.005474,0.005743,0.386,17,24.0,5.0,113.1,42.0,83.0,-0.2593,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Mean_std,tils,H,firstorder,Mean,std,0.005515,0.002281,0.005373,0.005656,0.414,18,24.0,5.0,119.0,42.7,79.6,-0.2372,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_InterquartileRange_std,tils,H,firstorder,InterquartileRange,std,0.005514,0.002163,0.00538,0.005648,0.392,19,25.0,5.0,111.0,41.4,80.4,-0.2557,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Variance_std,tils,H,firstorder,Variance,std,0.005497,0.002133,0.005364,0.005629,0.388,20,26.0,5.0,100.0,39.3,81.3,-0.2578,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.005355,0.002078,0.005226,0.005484,0.388,21,26.0,5.0,101.0,38.2,81.6,-0.2241,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.004736,0.001683,0.004632,0.004841,0.355,22,32.5,8.0,113.0,26.7,72.7,0.2006,0.0,higher feature -> higher survival_target
adipose_E_original_firstorder_Median_std,adipose,E,firstorder,Median,std,0.00462,0.001781,0.004509,0.00473,0.386,23,36.0,7.0,144.0,28.0,67.1,-0.2135,0.0,higher feature -> lower survival_target
stroma_H_original_firstorder_RootMeanSquared_std,stroma,H,firstorder,RootMeanSquared,std,0.004599,0.00194,0.004479,0.00472,0.422,24,37.0,7.0,149.0,25.3,65.0,-0.2245,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_InterquartileRange_std,dcis,H,firstorder,InterquartileRange,std,0.004523,0.002246,0.004384,0.004662,0.496,25,40.5,5.0,192.1,25.9,59.5,-0.1222,0.002015,higher feature -> lower survival_target
tdlu_H_original_firstorder_MeanAbsoluteDeviation_std,tdlu,H,firstorder,MeanAbsoluteDeviation,std,0.004457,0.002002,0.004332,0.004581,0.449,26,38.0,6.0,190.0,24.1,62.3,-0.2187,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_90Percentile_std,adipose,E,firstorder,90Percentile,std,0.004436,0.001959,0.004314,0.004557,0.442,27,38.0,6.0,179.0,25.4,61.0,-0.2271,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Entropy_std,tils,H,firstorder,Entropy,std,0.004338,0.001966,0.004217,0.00446,0.453,28,41.5,8.0,199.4,21.5,58.3,-0.2392,0.0,higher feature -> lower survival_target
tils_E_original_firstorder_10Percentile_mean,tils,E,firstorder,10Percentile,mean,0.004305,0.001707,0.0042,0.004411,0.397,29,41.0,7.0,149.0,17.4,63.0,0.1233,0.001839,higher feature -> higher survival_target
dcis_H_original_firstorder_Variance_mean,dcis,H,firstorder,Variance,mean,0.004285,0.002014,0.004161,0.00441,0.47,30,43.0,6.0,169.0,20.5,57.3,-0.1108,0.005171,higher feature -> lower survival_target
tumor_E_original_firstorder_10Percentile_mean,tumor,E,firstorder,10Percentile,mean,0.00422,0.00146,0.00413,0.004311,0.346,31,41.0,10.0,144.0,16.5,62.3,0.0708,0.074233,higher feature -> higher survival_target
tils_E_original_firstorder_MeanAbsoluteDeviation_std,tils,E,firstorder,MeanAbsoluteDeviation,std,0.00422,0.001935,0.0041,0.00434,0.458,32,46.0,7.0,194.1,19.5,55.9,-0.1607,4.7e-05,higher feature -> lower survival_target
tdlu_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tdlu,H,firstorder,RobustMeanAbsoluteDeviation,std,0.004215,0.001921,0.004095,0.004334,0.456,33,44.0,7.0,224.1,20.5,56.0,-0.2209,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Mean_std,adipose,E,firstorder,Mean,std,0.004118,0.001675,0.004014,0.004222,0.407,34,45.5,8.0,162.0,19.4,55.5,-0.2117,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_Skewness_std,tdlu,H,firstorder,Skewness,std,0.004118,0.001837,0.004004,0.004232,0.446,35,46.0,7.0,189.1,19.1,53.0,-0.1812,4e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.00401,0.001484,0.003918,0.004102,0.37,36,46.0,10.0,150.0,14.2,56.1,0.1742,1e-05,higher feature -> higher survival_target
tdlu_H_original_firstorder_Entropy_std,tdlu,H,firstorder,Entropy,std,0.003983,0.00188,0.003867,0.0041,0.472,37,48.0,7.0,259.1,18.4,52.1,-0.2359,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.003767,0.001363,0.003682,0.003851,0.362,38,52.0,14.0,177.0,9.7,48.5,0.1878,2e-06,higher feature -> higher survival_target
dcis_H_original_firstorder_MeanAbsoluteDeviation_mean,dcis,H,firstorder,MeanAbsoluteDeviation,mean,0.003733,0.001506,0.00364,0.003826,0.403,39,55.0,11.0,188.0,12.0,45.3,-0.1011,0.010758,higher feature -> lower survival_target
stroma_H_original_firstorder_Variance_std,stroma,H,firstorder,Variance,std,0.003731,0.001573,0.003634,0.003829,0.422,40,56.0,10.0,209.0,13.4,45.5,-0.2121,0.0,higher feature -> lower survival_target
dcis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,dcis,H,firstorder,RobustMeanAbsoluteDeviation,std,0.003626,0.001805,0.003514,0.003738,0.498,41,63.0,9.0,239.0,12.2,38.9,-0.0931,0.018902,higher feature -> lower survival_target
tils_E_original_firstorder_RobustMeanAbsoluteDeviation_std,tils,E,firstorder,RobustMeanAbsoluteDeviation,std,0.003605,0.001639,0.003503,0.003707,0.455,42,63.0,10.0,242.0,11.4,41.2,-0.1549,8.8e-05,higher feature -> lower survival_target
tumor_E_original_firstorder_InterquartileRange_std,tumor,E,firstorder,InterquartileRange,std,0.00356,0.001654,0.003457,0.003662,0.465,43,62.0,10.0,263.0,11.9,40.7,-0.1899,1e-06,higher feature -> lower survival_target
tumor_E_original_firstorder_RobustMeanAbsoluteDeviation_std,tumor,E,firstorder,RobustMeanAbsoluteDeviation,std,0.003549,0.001652,0.003446,0.003651,0.465,44,62.5,10.0,258.0,10.9,40.2,-0.1928,1e-06,higher feature -> lower survival_target
