region,n_features,sum_mean_importance,avg_mean_importance,best_rank,features_in_top20,features_in_top50,top_feature,top_feature_importance
adipose,61,0.1696,0.00278,1,12,16,adipose_H_original_firstorder_Uniformity_mean,0.00938
urothelium,66,0.1384,0.002097,20,1,9,urothelium_E_original_firstorder_Entropy_std,0.00506
immune,66,0.1361,0.002062,11,6,12,immune_H_original_firstorder_InterquartileRange_mean,0.005887
muscularis,57,0.124,0.002176,29,0,3,muscularis_H_original_firstorder_Kurtosis_std,0.004308
necrosis,61,0.1217,0.001995,36,0,3,necrosis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,0.004033
lamina,65,0.115,0.001769,18,1,7,lamina_H_original_firstorder_Kurtosis_std,0.00543
tumor,62,0.1065,0.001718,71,0,0,tumor_H_original_firstorder_Kurtosis_std,0.002934
vessels,66,0.0888,0.001345,61,0,0,vessels_H_original_firstorder_Kurtosis_std,0.003131
