feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.00938,0.003784,0.009146,0.009615,0.403,1,7.0,1.0,72.0,81.9,95.2,-0.3865,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.00891,0.003813,0.008674,0.009147,0.428,2,8.0,1.0,85.0,76.6,92.6,0.3786,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.008747,0.00332,0.008541,0.008953,0.38,3,9.0,1.0,73.1,79.2,95.6,0.3819,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.008349,0.003574,0.008127,0.00857,0.428,4,11.0,2.0,112.0,74.0,90.7,0.3756,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.008264,0.003441,0.008051,0.008478,0.416,5,11.0,1.0,100.0,71.7,90.8,0.3669,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Kurtosis_std,adipose,H,firstorder,Kurtosis,std,0.007934,0.004193,0.007674,0.008194,0.528,6,14.0,1.0,154.0,61.4,83.0,-0.2804,1.7e-05,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.006936,0.003138,0.006741,0.00713,0.452,7,19.0,2.0,132.0,53.7,85.3,-0.3715,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.006859,0.003365,0.006651,0.007068,0.491,8,20.0,2.0,157.0,52.0,80.6,-0.3633,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,H,firstorder,MeanAbsoluteDeviation,mean,0.006853,0.002886,0.006674,0.007032,0.421,9,17.0,1.0,153.2,57.1,86.1,0.3549,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_90Percentile_mean,adipose,H,firstorder,90Percentile,mean,0.006541,0.002805,0.006368,0.006715,0.429,10,20.0,4.0,149.2,50.6,82.0,0.364,0.0,higher feature -> higher survival_target
